"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
18, "Line.L115", 400, 600, 114.7513, 76.50088, 2.4 
18, "Line.L3", 400, 600, 111.384, 74.25598, 2.4 
18, "Line.L7", 400, 600, 109.6926, 73.1284, 2.4 
18, "Line.L10", 400, 600, 101.2259, 67.48397, 2.4 
18, "Line.SW1", 400, 600, 114.7513, 76.50088, 2.4 
19, "Line.L115", 400, 600, 119.3169, 79.54459, 2.4 
19, "Line.L3", 400, 600, 115.8329, 77.22196, 2.4 
19, "Line.L7", 400, 600, 114.0824, 76.05492, 2.4 
19, "Line.L10", 400, 600, 105.2696, 70.17972, 2.4 
19, "Line.SW1", 400, 600, 119.3169, 79.54459, 2.4 
20, "Line.L115", 400, 600, 115.4929, 76.99524, 2.4 
20, "Line.L3", 400, 600, 112.1179, 74.74525, 2.4 
20, "Line.L7", 400, 600, 110.4227, 73.61512, 2.4 
20, "Line.L10", 400, 600, 101.8847, 67.92313, 2.4 
20, "Line.SW1", 400, 600, 115.4929, 76.99524, 2.4 
21, "Line.L115", 400, 600, 110.6436, 73.76239, 2.4 
21, "Line.L3", 400, 600, 107.4069, 71.60459, 2.4 
21, "Line.L7", 400, 600, 105.7819, 70.52128, 2.4 
21, "Line.SW1", 400, 600, 110.6436, 73.76239, 2.4 
22, "Line.L115", 400, 600, 103.9591, 69.30606, 2.4 
22, "Line.L3", 400, 600, 100.9121, 67.27472, 2.4 
22, "Line.SW1", 400, 600, 103.9591, 69.30606, 2.4 
34, "Line.L115", 400, 600, 105.2998, 70.19989, 2.4 
34, "Line.L3", 400, 600, 102.2002, 68.1335, 2.4 
34, "Line.L7", 400, 600, 100.6447, 67.09649, 2.4 
34, "Line.SW1", 400, 600, 105.2998, 70.19989, 2.4 
35, "Line.L115", 400, 600, 112.5031, 75.00207, 2.4 
35, "Line.L3", 400, 600, 109.2002, 72.80016, 2.4 
35, "Line.L7", 400, 600, 107.5416, 71.69443, 2.4 
35, "Line.SW1", 400, 600, 112.5031, 75.00207, 2.4 
36, "Line.L115", 400, 600, 110.6047, 73.73648, 2.4 
36, "Line.L3", 400, 600, 107.3566, 71.57105, 2.4 
36, "Line.L7", 400, 600, 105.7258, 70.48383, 2.4 
36, "Line.SW1", 400, 600, 110.6047, 73.73648, 2.4 
37, "Line.L115", 400, 600, 107.7198, 71.81321, 2.4 
37, "Line.L3", 400, 600, 104.5548, 69.70323, 2.4 
37, "Line.L7", 400, 600, 102.9663, 68.64417, 2.4 
37, "Line.SW1", 400, 600, 107.7198, 71.81321, 2.4 
38, "Line.L115", 400, 600, 104.4551, 69.63672, 2.4 
38, "Line.L3", 400, 600, 101.3848, 67.58986, 2.4 
38, "Line.SW1", 400, 600, 104.4551, 69.63672, 2.4 
39, "Line.L115", 400, 600, 102.5611, 68.37405, 2.4 
39, "Line.SW1", 400, 600, 102.5611, 68.37405, 2.4 
40, "Line.L115", 400, 600, 100.0903, 66.72687, 2.4 
40, "Line.SW1", 400, 600, 100.0903, 66.72687, 2.4 
41, "Line.L115", 400, 600, 104.4415, 69.62766, 2.4 
41, "Line.L3", 400, 600, 101.3716, 67.58104, 2.4 
41, "Line.SW1", 400, 600, 104.4415, 69.62766, 2.4 
42, "Line.L115", 400, 600, 121.0563, 80.70422, 2.4 
42, "Line.L3", 400, 600, 117.5231, 78.34871, 2.4 
42, "Line.L7", 400, 600, 115.7474, 77.16496, 2.4 
42, "Line.L10", 400, 600, 106.8106, 71.20704, 2.4 
42, "Line.SW1", 400, 600, 121.0563, 80.70422, 2.4 
43, "Line.L115", 400, 600, 125.8114, 83.87424, 2.4 
43, "Line.L3", 400, 600, 122.1434, 81.42895, 2.4 
43, "Line.L7", 400, 600, 120.2993, 80.19955, 2.4 
43, "Line.L10", 400, 600, 111.0234, 74.01558, 2.4 
43, "Line.SW1", 400, 600, 125.8114, 83.87424, 2.4 
44, "Line.L115", 400, 600, 120.7303, 80.48685, 2.4 
44, "Line.L3", 400, 600, 117.2063, 78.13754, 2.4 
44, "Line.L7", 400, 600, 115.4354, 76.95693, 2.4 
44, "Line.L10", 400, 600, 106.5219, 71.01462, 2.4 
44, "Line.SW1", 400, 600, 120.7303, 80.48685, 2.4 
45, "Line.L115", 400, 600, 115.5696, 77.04642, 2.4 
45, "Line.L3", 400, 600, 112.1926, 74.79506, 2.4 
45, "Line.L7", 400, 600, 110.4963, 73.66422, 2.4 
45, "Line.L10", 400, 600, 101.9533, 67.96889, 2.4 
45, "Line.SW1", 400, 600, 115.5696, 77.04642, 2.4 
46, "Line.L115", 400, 600, 107.4722, 71.64815, 2.4 
46, "Line.L3", 400, 600, 104.3271, 69.55141, 2.4 
46, "Line.L7", 400, 600, 102.7486, 68.49908, 2.4 
46, "Line.SW1", 400, 600, 107.4722, 71.64815, 2.4 
66, "Line.L115", 400, 600, 116.706, 77.80397, 2.4 
66, "Line.L3", 400, 600, 113.2966, 75.53107, 2.4 
66, "Line.L7", 400, 600, 111.584, 74.3893, 2.4 
66, "Line.L10", 400, 600, 102.9593, 68.63955, 2.4 
66, "Line.SW1", 400, 600, 116.706, 77.80397, 2.4 
67, "Line.L115", 400, 600, 122.2317, 81.48778, 2.4 
67, "Line.L3", 400, 600, 118.6652, 79.11012, 2.4 
67, "Line.L7", 400, 600, 116.8727, 77.91512, 2.4 
67, "Line.L10", 400, 600, 107.852, 71.90132, 2.4 
67, "Line.SW1", 400, 600, 122.2317, 81.48778, 2.4 
68, "Line.L115", 400, 600, 117.7474, 78.49829, 2.4 
68, "Line.L3", 400, 600, 114.3084, 76.20562, 2.4 
68, "Line.L7", 400, 600, 112.5807, 75.0538, 2.4 
68, "Line.L10", 400, 600, 103.8813, 69.25418, 2.4 
68, "Line.SW1", 400, 600, 117.7474, 78.49829, 2.4 
69, "Line.L115", 400, 600, 112.9005, 75.26701, 2.4 
69, "Line.L3", 400, 600, 109.5993, 73.06621, 2.4 
69, "Line.L7", 400, 600, 107.9416, 71.96107, 2.4 
69, "Line.SW1", 400, 600, 112.9005, 75.26701, 2.4 
70, "Line.L115", 400, 600, 106.7075, 71.13836, 2.4 
70, "Line.L3", 400, 600, 103.5845, 69.05635, 2.4 
70, "Line.L7", 400, 600, 102.0172, 68.0115, 2.4 
70, "Line.SW1", 400, 600, 106.7075, 71.13836, 2.4 
89, "Line.L115", 400, 600, 100.0838, 66.72255, 2.4 
89, "Line.SW1", 400, 600, 100.0838, 66.72255, 2.4 
90, "Line.L115", 400, 600, 122.665, 81.77666, 2.4 
90, "Line.L3", 400, 600, 119.0861, 79.39075, 2.4 
90, "Line.L7", 400, 600, 117.2873, 78.19154, 2.4 
90, "Line.L10", 400, 600, 108.2356, 72.15704, 2.4 
90, "Line.SW1", 400, 600, 122.665, 81.77666, 2.4 
91, "Line.L115", 400, 600, 129.4495, 86.29969, 2.4 
91, "Line.L3", 400, 600, 125.679, 83.78598, 2.4 
91, "Line.L7", 400, 600, 123.7827, 82.52177, 2.4 
91, "Line.L10", 400, 600, 114.2486, 76.16571, 2.4 
91, "Line.SW1", 400, 600, 129.4495, 86.29969, 2.4 
92, "Line.L115", 400, 600, 125.9913, 83.9942, 2.4 
92, "Line.L3", 400, 600, 122.3183, 81.54556, 2.4 
92, "Line.L7", 400, 600, 120.4717, 80.31445, 2.4 
92, "Line.L10", 400, 600, 111.1831, 74.12205, 2.4 
92, "Line.SW1", 400, 600, 125.9913, 83.9942, 2.4 
93, "Line.L115", 400, 600, 120.6366, 80.42442, 2.4 
93, "Line.L3", 400, 600, 117.1153, 78.07688, 2.4 
93, "Line.L7", 400, 600, 115.3458, 76.89717, 2.4 
93, "Line.L10", 400, 600, 106.439, 70.95934, 2.4 
93, "Line.SW1", 400, 600, 120.6366, 80.42442, 2.4 
94, "Line.L115", 400, 600, 111.7669, 74.51129, 2.4 
94, "Line.L3", 400, 600, 108.4981, 72.33207, 2.4 
94, "Line.L7", 400, 600, 106.8568, 71.23788, 2.4 
94, "Line.SW1", 400, 600, 111.7669, 74.51129, 2.4 
104, "Line.L115", 400, 600, 115.2304, 76.82024, 2.4 
104, "Line.L3", 400, 600, 111.8492, 74.56617, 2.4 
104, "Line.L7", 400, 600, 110.1509, 73.43394, 2.4 
104, "Line.L10", 400, 600, 101.6498, 67.76651, 2.4 
104, "Line.SW1", 400, 600, 115.2304, 76.82024, 2.4 
105, "Line.L115", 400, 600, 115.6317, 77.08779, 2.4 
105, "Line.L3", 400, 600, 112.2389, 74.82594, 2.4 
105, "Line.L7", 400, 600, 110.5347, 73.68978, 2.4 
