"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 1942.00256738148, 307.2358761725, 1942.00256738148, 1966.15560302936, 29.2418911273292, 58.1178942194286, 29.2418911273292
2, 1796.36768389054, 217.603524323453, 1942.00256738148, 1966.15560302936, 25.5458572202683, 50.6873148110656, 29.2418911273292
3, 1692.42105263171, 153.965655937693, 1942.00256738148, 1966.15560302936, 23.145362538402, 45.8625446463086, 29.2418911273292
4, 1633.99288735864, 121.698732585723, 1942.00256738148, 1966.15560302936, 21.859982829111, 43.28283805814, 29.2418911273292
5, 1624.38257872747, 115.844335427723, 1942.00256738148, 1966.15560302936, 21.658083738437, 42.8772208576913, 29.2418911273292
6, 1666.28504507304, 141.387019222404, 1942.00256738148, 1966.15560302936, 22.5511015380211, 44.6716469095777, 29.2418911273292
7, 1747.27718229979, 190.882321438644, 1942.00256738148, 1966.15560302936, 24.3686389414256, 48.3246841917025, 29.2418911273292
8, 1813.5832887451, 231.527090637544, 1942.00256738148, 1966.15560302936, 25.945229636438, 51.4936493982993, 29.2418911273292
9, 1911.85624215594, 291.983739592092, 1942.00256738148, 1966.15560302936, 28.4311445386933, 56.4916677208237, 29.2418911273292
10, 2035.64603788814, 365.09433088295, 2035.64603788814, 2068.12684862717, 31.8116882708303, 63.292588313224, 31.8116882708303
11, 2109.07004382982, 407.345311023783, 2109.07004382982, 2148.04717178031, 33.956969095442, 67.6036576048688, 33.956969095442
12, 2136.41396642534, 424.357667166269, 2136.41396642534, 2178.15152494496, 34.777037971602, 69.2529028910364, 34.777037971602
13, 2160.61524580259, 439.430020025249, 2160.61524580259, 2204.84851699476, 35.5150423411451, 70.7374987623405, 35.5150423411451
14, 2123.69552305051, 416.440336018691, 2160.61524580259, 2204.84851699476, 34.3944074507071, 68.483597631887, 35.5150423411451
15, 2125.84439871386, 417.778879971492, 2160.61524580259, 2204.84851699476, 34.4584810676646, 68.6122559139084, 35.5150423411451
16, 2140.38821043829, 426.831370201686, 2160.61524580259, 2204.84851699476, 34.8976446679186, 69.4955880732285, 35.5150423411451
