"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage"
1, 0, 0.991595, 0, 1.04249
2, 0, 0.993119, 0, 1.04607
3, 0, 0.994204, 0, 1.04861
4, 0, 0.994725, 0, 1.04333
5, 0, 0.994824, 0, 1.04356
6, 0, 0.994389, 0, 1.04255
7, 0, 0.993546, 0, 1.04058
8, 0, 0.992855, 0, 1.03897
9, 0, 0.991829, 0, 1.03674
10, 0, 0.991528, 0, 1.03508
11, 0, 0.990368, 0, 1.03837
12, 0, 0.989894, 0, 1.0377
13, 0, 0.989474, 0, 1.0371
14, 0, 0.990114, 0, 1.03801
15, 0, 0.990078, 0, 1.03796
16, 0, 0.989825, 0, 1.0376
17, 0, 0.98808, 0, 1.0351
18, 0, 0.980442, 0, 1.03791
19, 0, 0.98464, 0, 1.04221
20, 0, 0.986468, 0, 1.04427
21, 0, 0.988784, 0, 1.04688
22, 0, 0.991334, 0, 1.04387
23, 0, 0.995045, 0, 1.04919
24, 0, 0.993123, 0, 1.0423
25, 0, 0.996465, 0, 1.04706
26, 0, 0.998267, 0, 1.04308
27, 0, 0.999281, 0, 1.04451
28, 0, 0.999545, 0, 1.04488
29, 0, 0.999017, 0, 1.04414
30, 0, 0.997051, 0, 1.04136
31, 0, 0.993388, 0, 1.03702
32, 0, 0.989905, 0, 1.03771
33, 0, 0.987394, 0, 1.03897
34, 0, 0.984589, 0, 1.0368
35, 0, 0.981518, 0, 1.03912
36, 0, 0.982427, 0, 1.04015
37, 0, 0.9838, 0, 1.04171
38, 0, 0.985015, 0, 1.04347
39, 0, 0.985721, 0, 1.04449
40, 0, 0.986642, 0, 1.04583
41, 0, 0.98502, 0, 1.04348
42, 0, 0.983685, 0, 1.04598
43, 0, 0.981416, 0, 1.04475
44, 0, 0.983841, 0, 1.04606
45, 0, 0.986306, 0, 1.0474
46, 0, 0.990133, 0, 1.04859
47, 0, 0.99445, 0, 1.04834
48, 0, 0.998352, 0, 1.04752
49, 0, 0.995569, 0, 1.03928
50, 0, 0.997835, 0, 1.04249
51, 0, 0.99913, 0, 1.04431
52, 0, 0.999715, 0, 1.04514
53, 0, 0.999568, 0, 1.04493
54, 0, 0.998896, 0, 1.04398
55, 0, 0.99714, 0, 1.0415
56, 0, 0.994927, 0, 1.03837
57, 0, 0.991978, 0, 1.03559
58, 0, 0.989203, 0, 1.03671
59, 0, 0.988037, 0, 1.03504
60, 0, 0.98708, 0, 1.03875
61, 0, 0.986819, 0, 1.03857
62, 0, 0.987757, 0, 1.03923
63, 0, 0.988743, 0, 1.03992
64, 0, 0.989315, 0, 1.04032
65, 0, 0.986823, 0, 1.03857
66, 0, 0.985856, 0, 1.04362
67, 0, 0.983215, 0, 1.04064
68, 0, 0.985359, 0, 1.04306
69, 0, 0.987675, 0, 1.04567
70, 0, 0.990418, 0, 1.04901
71, 0, 0.993507, 0, 1.04699
72, 0, 0.997635, 0, 1.04833
73, 0, 0.995017, 0, 1.03881
74, 0, 0.997004, 0, 1.04129
75, 0, 0.998555, 0, 1.04349
76, 0, 0.99918, 0, 1.04437
77, 0, 0.999097, 0, 1.04425
78, 0, 0.998564, 0, 1.0435
79, 0, 0.997226, 0, 1.04161
80, 0, 0.995331, 0, 1.03916
81, 0, 0.992301, 0, 1.03583
82, 0, 0.990693, 0, 1.03884
83, 0, 0.989585, 0, 1.03726
84, 0, 0.989183, 0, 1.03668
85, 0, 0.988814, 0, 1.03616
86, 0, 0.988137, 0, 1.03519
87, 0, 0.987986, 0, 1.03497
88, 0, 0.988738, 0, 1.03604
89, 0, 0.986526, 0, 1.03922
90, 0, 0.982917, 0, 1.04556
91, 0, 0.979679, 0, 1.04382
92, 0, 0.981329, 0, 1.04471
93, 0, 0.983886, 0, 1.04609
94, 0, 0.988122, 0, 1.04837
95, 0, 0.993344, 0, 1.04676
96, 0, 0.998701, 0, 1.04802
97, 0, 0.99579, 0, 1.0396
98, 0, 0.997475, 0, 1.04198
99, 0, 0.998165, 0, 1.04295
100, 0, 0.997959, 0, 1.04266
101, 0, 0.996908, 0, 1.04118
102, 0, 0.993548, 0, 1.03668
103, 0, 0.986491, 0, 1.03834
104, 0, 0.980214, 0, 1.03765
105, 0, 0.980023, 0, 1.03744
106, 0, 0.985621, 0, 1.04335
107, 0, 0.986899, 0, 1.04479
108, 0, 0.98757, 0, 1.04555
109, 0, 0.988527, 0, 1.04663
110, 0, 0.989014, 0, 1.04718
111, 0, 0.989923, 0, 1.04829
112, 0, 0.990726, 0, 1.04945
113, 0, 0.988973, 0, 1.04713
114, 0, 0.978201, 0, 1.03639
115, 0, 0.980539, 0, 1.04347
116, 0, 0.981208, 0, 1.04423
117, 0, 0.983951, 0, 1.04734
118, 0, 0.989052, 0, 1.04682
119, 0, 0.996776, 0, 1.04304
120, 0, 0.995809, 0, 1.04071
121, 0, 0.991847, 0, 1.03676
122, 0, 0.992993, 0, 1.03929
123, 0, 0.993499, 0, 1.04047
124, 0, 0.993623, 0, 1.04076
125, 0, 0.993025, 0, 1.03936
126, 0, 0.991131, 0, 1.03593
127, 0, 0.986173, 0, 1.03871
128, 0, 0.985727, 0, 1.04347
129, 0, 0.985801, 0, 1.04355
130, 0, 0.985056, 0, 1.04272
131, 0, 0.985263, 0, 1.04295
132, 0, 0.986348, 0, 1.04417
133, 0, 0.987257, 0, 1.04519
134, 0, 0.987622, 0, 1.04561
135, 0, 0.988045, 0, 1.04608
136, 0, 0.988325, 0, 1.0464
137, 0, 0.984468, 0, 1.04205
138, 0, 0.982948, 0, 1.04211
139, 0, 0.979808, 0, 1.04044
140, 0, 0.98113, 0, 1.04114
141, 0, 0.984454, 0, 1.0429
142, 0, 0.989644, 0, 1.04749
143, 0, 0.997172, 0, 1.04361
144, 0, 0.996097, 0, 1.04104
145, 0, 0.992131, 0, 1.03727
146, 0, 0.993418, 0, 1.04028
147, 0, 0.994049, 0, 1.04175
148, 0, 0.994201, 0, 1.04211
149, 0, 0.993681, 0, 1.04089
150, 0, 0.991811, 0, 1.03671
151, 0, 0.987727, 0, 1.0346
152, 0, 0.981518, 0, 1.03912
153, 0, 0.980809, 0, 1.03833
154, 0, 0.986236, 0, 1.04405
155, 0, 0.986093, 0, 1.04388
156, 0, 0.986364, 0, 1.04419
157, 0, 0.98758, 0, 1.04556
158, 0, 0.987907, 0, 1.04593
159, 0, 0.988479, 0, 1.04657
160, 0, 0.988266, 0, 1.04633
161, 0, 0.985101, 0, 1.04277
162, 0, 0.982962, 0, 1.04622
163, 0, 0.980076, 0, 1.04295
164, 0, 0.9814, 0, 1.04445
165, 0, 0.984302, 0, 1.04773
166, 0, 0.989611, 0, 1.04745
167, 0, 0.997099, 0, 1.0435
168, 0, 0.996122, 0, 1.04107
169, 0, 0.992195, 0, 1.03742
170, 0, 0.993464, 0, 1.04039
171, 0, 0.994067, 0, 1.04179
172, 0, 0.994229, 0, 1.04217
173, 0, 0.993658, 0, 1.04084
174, 0, 0.991746, 0, 1.03664
175, 0, 0.98723, 0, 1.03886
176, 0, 0.981183, 0, 1.03875
177, 0, 0.980835, 0, 1.03835
178, 0, 0.980438, 0, 1.03791
179, 0, 0.98632, 0, 1.04414
180, 0, 0.986743, 0, 1.04462
181, 0, 0.987914, 0, 1.04593
182, 0, 0.988823, 0, 1.04696
183, 0, 0.9889, 0, 1.04705
184, 0, 0.988845, 0, 1.04698
185, 0, 0.985134, 0, 1.0428
186, 0, 0.977602, 0, 1.03607
187, 0, 0.981581, 0, 1.04465
188, 0, 0.982612, 0, 1.04582
189, 0, 0.985464, 0, 1.04905
190, 0, 0.990438, 0, 1.04838
191, 0, 0.997525, 0, 1.04411
192, 0, 0.996138, 0, 1.04109
193, 0, 0.992362, 0, 1.03781
194, 0, 0.993652, 0, 1.04082
195, 0, 0.994349, 0, 1.04245
196, 0, 0.994576, 0, 1.04298
197, 0, 0.994125, 0, 1.04193
198, 0, 0.992231, 0, 1.03751
199, 0, 0.988457, 0, 1.03564
200, 0, 0.981801, 0, 1.03522
201, 0, 0.981529, 0, 1.03914
202, 0, 0.980207, 0, 1.03765
203, 0, 0.97995, 0, 1.03736
204, 0, 0.985985, 0, 1.04376
205, 0, 0.986927, 0, 1.04482
206, 0, 0.987543, 0, 1.04552
207, 0, 0.988367, 0, 1.04645
208, 0, 0.987939, 0, 1.04596
209, 0, 0.984166, 0, 1.04171
210, 0, 0.978302, 0, 1.03645
211, 0, 0.982804, 0, 1.04604
212, 0, 0.985763, 0, 1.04939
213, 0, 0.988772, 0, 1.04651
214, 0, 0.99317, 0, 1.04761
215, 0, 0.99794, 0, 1.0447
216, 0, 0.995874, 0, 1.04079
217, 0, 0.991916, 0, 1.03684
218, 0, 0.993469, 0, 1.0404
219, 0, 0.994241, 0, 1.0422
220, 0, 0.994639, 0, 1.04313
221, 0, 0.994556, 0, 1.04293
222, 0, 0.994151, 0, 1.04199
223, 0, 0.992705, 0, 1.03861
224, 0, 0.991417, 0, 1.035
225, 0, 0.988194, 0, 1.03527
226, 0, 0.985711, 0, 1.03805
227, 0, 0.98279, 0, 1.03575
228, 0, 0.981941, 0, 1.03529
229, 0, 0.982557, 0, 1.03563
230, 0, 0.983971, 0, 1.0364
231, 0, 0.985366, 0, 1.03754
232, 0, 0.985559, 0, 1.03782
233, 0, 0.9832, 0, 1.03598
234, 0, 0.982856, 0, 1.04553
235, 0, 0.980859, 0, 1.04445
236, 0, 0.983253, 0, 1.04575
237, 0, 0.985904, 0, 1.04718
238, 0, 0.98897, 0, 1.04904
239, 0, 0.992627, 0, 1.04573
240, 0, 0.996956, 0, 1.04785
241, 0, 0.994719, 0, 1.03849
242, 0, 0.996592, 0, 1.04071
243, 0, 0.998097, 0, 1.04284
244, 0, 0.998795, 0, 1.04382
245, 0, 0.998847, 0, 1.0439
