"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "4.16 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "4.16 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "4.16 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "4.16 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "4.16 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
1, 1942, 307.228, 1942, 1966.15, 1912.76, 1052.76, 1912.76, 2183.33, 0, 0, 0, 0, 29.2416, 58.1099, 29.2416, 58.1099, 29.2416, 58.1099, 0, 0, 29.2416, 0, 29.2416, 1.28735E-005, 27.3015, 0.907121, 28.2086, 1.03294, 0, 0, 0, 0, 29.2416, 0, 0, 0, 0, 0, 0, 29.2416, 0, 0, 0, 0, 0, 0, 1.28735E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1912.76, 0, 0, 0, 0, 0, 0
2, 1796.37, 217.597, 1942, 1966.15, 1770.81, 974.76, 1912.76, 2183.33, 0, 0, 0, 0, 25.5456, 50.6806, 29.2416, 58.1099, 25.5456, 50.6806, 0, 0, 29.2416, 0, 25.5456, 1.17618E-005, 23.8821, 0.772368, 24.6545, 0.891129, 0, 0, 0, 0, 25.5456, 0, 0, 0, 0, 0, 0, 25.5456, 0, 0, 0, 0, 0, 0, 1.17618E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1770.81, 0, 0, 0, 0, 0, 0
3, 1692.42, 153.96, 1942, 1966.15, 1669.27, 918.946, 1912.76, 2183.33, 0, 0, 0, 0, 23.1451, 45.8566, 29.2416, 58.1099, 23.1451, 45.8566, 0, 0, 29.2416, 0, 23.1451, 1.10753E-005, 21.6649, 0.683084, 22.348, 0.797154, 0, 0, 0, 0, 23.1451, 0, 0, 0, 0, 0, 0, 23.1451, 0, 0, 0, 0, 0, 0, 1.10753E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1669.27, 0, 0, 0, 0, 0, 0
4, 1633.99, 121.693, 1942, 1966.15, 1612.14, 887.508, 1912.76, 2183.33, 0, 0, 0, 0, 21.8598, 43.2773, 29.2416, 58.1099, 21.8598, 43.2773, 0, 0, 29.2416, 0, 21.8598, 1.06635E-005, 20.4801, 0.630898, 21.111, 0.748718, 0, 0, 0, 0, 21.8598, 0, 0, 0, 0, 0, 0, 21.8598, 0, 0, 0, 0, 0, 0, 1.06635E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1612.14, 0, 0, 0, 0, 0, 0
5, 1624.38, 115.839, 1942, 1966.15, 1602.71, 882.337, 1912.76, 2183.33, 0, 0, 0, 0, 21.6579, 42.8717, 29.2416, 58.1099, 21.6579, 42.8717, 0, 0, 29.2416, 0, 21.6579, 1.06049E-005, 20.2939, 0.623366, 20.9172, 0.740634, 0, 0, 0, 0, 21.6579, 0, 0, 0, 0, 0, 0, 21.6579, 0, 0, 0, 0, 0, 0, 1.06049E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1602.71, 0, 0, 0, 0, 0, 0
6, 1666.28, 141.381, 1942, 1966.15, 1643.78, 904.876, 1912.76, 2183.33, 0, 0, 0, 0, 22.5509, 44.6659, 29.2416, 58.1099, 22.5509, 44.6659, 0, 0, 29.2416, 0, 22.5509, 1.08545E-005, 21.1177, 0.656854, 21.7746, 0.77629, 0, 0, 0, 0, 22.5509, 0, 0, 0, 0, 0, 0, 22.5509, 0, 0, 0, 0, 0, 0, 1.08545E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1643.78, 0, 0, 0, 0, 0, 0
7, 1747.28, 190.876, 1942, 1966.15, 1722.91, 948.399, 1912.76, 2183.33, 0, 0, 0, 0, 24.3684, 48.3183, 29.2416, 58.1099, 24.3684, 48.3183, 0, 0, 29.2416, 0, 24.3684, 1.137E-005, 22.7957, 0.724614, 23.5203, 0.848049, 0, 0, 0, 0, 24.3684, 0, 0, 0, 0, 0, 0, 24.3684, 0, 0, 0, 0, 0, 0, 1.137E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722.91, 0, 0, 0, 0, 0, 0
8, 1813.58, 231.52, 1942, 1966.15, 1787.72, 983.967, 1912.76, 2183.33, 0, 0, 0, 0, 25.945, 51.4867, 29.2416, 58.1099, 25.945, 51.4867, 0, 0, 29.2416, 0, 25.945, 1.18355E-005, 24.2531, 0.782398, 25.0355, 0.909474, 0, 0, 0, 0, 25.945, 0, 0, 0, 0, 0, 0, 25.945, 0, 0, 0, 0, 0, 0, 1.18355E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1787.72, 0, 0, 0, 0, 0, 0
9, 1911.86, 291.976, 1942, 1966.15, 1883.43, 1036.61, 1912.76, 2183.33, 0, 0, 0, 0, 28.4309, 56.4839, 29.2416, 58.1099, 28.4309, 56.4839, 0, 0, 29.2416, 0, 28.4308, 1.25781E-005, 26.5528, 0.872869, 27.4257, 1.00515, 0, 0, 0, 0, 28.4309, 0, 0, 0, 0, 0, 0, 28.4308, 0, 0, 0, 0, 0, 0, 1.25781E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1883.43, 0, 0, 0, 0, 0, 0
10, 2035.65, 365.085, 2035.65, 2068.12, 2003.83, 1102.75, 2003.83, 2287.22, 0, 0, 0, 0, 31.8114, 63.2838, 31.8114, 63.2838, 31.8114, 63.2838, 0, 0, 31.8114, 0, 31.8113, 1.3676E-005, 29.7067, 0.97411, 30.6808, 1.13057, 0, 0, 0, 0, 31.8114, 0, 0, 0, 0, 0, 0, 31.8113, 0, 0, 0, 0, 0, 0, 1.3676E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2003.83, 0, 0, 0, 0, 0, 0
11, 2109.07, 407.336, 2109.07, 2148.05, 2075.1, 1141.94, 2075.1, 2368.56, 0, 0, 0, 0, 33.9566, 67.5941, 33.9566, 67.5941, 33.9566, 67.5941, 0, 0, 33.9566, 0, 33.9566, 1.44037E-005, 31.6938, 1.05541, 32.7492, 1.20735, 0, 0, 0, 0, 33.9566, 0, 0, 0, 0, 0, 0, 33.9566, 0, 0, 0, 0, 0, 0, 1.44037E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2075.1, 0, 0, 0, 0, 0, 0
12, 2136.41, 424.348, 2136.41, 2178.15, 2101.69, 1156.5, 2101.69, 2398.87, 0, 0, 0, 0, 34.7767, 69.2431, 34.7767, 69.2431, 34.7767, 69.2431, 0, 0, 34.7767, 0, 34.7767, 1.46647E-005, 32.455, 1.08388, 33.5389, 1.23774, 0, 0, 0, 0, 34.7767, 0, 0, 0, 0, 0, 0, 34.7767, 0, 0, 0, 0, 0, 0, 1.46647E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2101.69, 0, 0, 0, 0, 0, 0
13, 2160.61, 439.42, 2160.61, 2204.85, 2125.15, 1169.39, 2125.15, 2425.64, 0, 0, 0, 0, 35.5147, 70.7275, 35.5147, 70.7275, 35.5147, 70.7275, 0, 0, 35.5147, 0, 35.5146, 1.49034E-005, 33.1398, 1.10977, 34.2496, 1.26505, 0, 0, 0, 0, 35.5147, 0, 0, 0, 0, 0, 0, 35.5146, 0, 0, 0, 0, 0, 0, 1.49034E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2125.15, 0, 0, 0, 0, 0, 0
14, 2123.7, 416.431, 2160.61, 2204.85, 2089.23, 1149.73, 2125.15, 2425.64, 0, 0, 0, 0, 34.394, 68.4739, 35.5147, 70.7275, 34.394, 68.4739, 0, 0, 35.5147, 0, 34.394, 1.45391E-005, 32.0996, 1.07082, 33.1704, 1.2236, 0, 0, 0, 0, 34.394, 0, 0, 0, 0, 0, 0, 34.394, 0, 0, 0, 0, 0, 0, 1.45391E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2089.23, 0, 0, 0, 0, 0, 0
15, 2125.84, 417.769, 2160.61, 2204.85, 2091.39, 1150.87, 2125.15, 2425.64, 0, 0, 0, 0, 34.4581, 68.6026, 35.5147, 70.7275, 34.4581, 68.6026, 0, 0, 35.5147, 0, 34.4581, 1.45627E-005, 32.1593, 1.07284, 33.2321, 1.22595, 0, 0, 0, 0, 34.4581, 0, 0, 0, 0, 0, 0, 34.4581, 0, 0, 0, 0, 0, 0, 1.45627E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2091.39, 0, 0, 0, 0, 0, 0
16, 2140.39, 426.822, 2160.61, 2204.85, 2105.52, 1158.62, 2125.15, 2425.64, 0, 0, 0, 0, 34.8973, 69.4857, 35.5147, 70.7275, 34.8973, 69.4857, 0, 0, 35.5147, 0, 34.8973, 1.47032E-005, 32.5669, 1.08819, 33.655, 1.24222, 0, 0, 0, 0, 34.8973, 0, 0, 0, 0, 0, 0, 34.8973, 0, 0, 0, 0, 0, 0, 1.47032E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2105.52, 0, 0, 0, 0, 0, 0
17, 2240.89, 489.523, 2240.89, 2293.73, 2202.86, 1212.09, 2202.86, 2514.3, 0, 0, 0, 0, 38.0406, 75.8084, 38.0406, 75.8084, 38.0406, 75.8084, 0, 0, 38.0406, 0, 38.0405, 1.57289E-005, 35.4845, 1.19799, 36.6825, 1.35803, 0, 0, 0, 0, 38.0406, 0, 0, 0, 0, 0, 0, 38.0405, 0, 0, 0, 0, 0, 0, 1.57289E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2202.86, 0, 0, 0, 0, 0, 0
18, 2645.94, 731.691, 2645.94, 2745.24, 2593.29, 1426.59, 2593.29, 2959.78, 340.136, 0, 382.545, 0, 52.5831, 105.092, 52.5831, 105.092, 52.5831, 105.092, 0, 0, 52.5831, 0, 52.5831, 2.08537E-005, 49.0036, 1.71261, 50.7162, 1.86685, 0, 0, 0, 0, 52.5831, 0, 0, 0, 0, 0, 0, 52.5831, 0, 0, 0, 0, 0, 0, 2.08537E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593.29, 0, 0, 0, 0, 0, 0
19, 2761.66, 790.784, 2761.66, 2872.65, 2705.11, 1488.46, 2705.11, 3087.58, 447.101, 0, 522.543, 0, 56.5677, 113.102, 56.5677, 113.102, 56.5677, 113.102, 0, 0, 56.5677, 0, 56.5676, 2.2283E-005, 52.7476, 1.81842, 54.5661, 2.00159, 0, 0, 0, 0, 56.5677, 0, 0, 0, 0, 0, 0, 56.5676, 0, 0, 0, 0, 0, 0, 2.2283E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2705.11, 0, 0, 0, 0, 0, 0
20, 2680.52, 739.031, 2761.66, 2872.65, 2627.21, 1445.73, 2705.11, 3087.58, 359.579, 0, 407.03, 0, 53.2859, 106.495, 56.5677, 113.102, 53.2859, 106.495, 0, 0, 56.5677, 0, 53.2859, 2.11355E-005, 49.6922, 1.70731, 51.3995, 1.88643, 0, 0, 0, 0, 53.2859, 0, 0, 0, 0, 0, 0, 53.2859, 0, 0, 0, 0, 0, 0, 2.11355E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2627.21, 0, 0, 0, 0, 0, 0
21, 2577.53, 673.61, 2761.66, 2872.65, 2528.24, 1391.38, 2705.11, 3087.58, 247.951, 0, 269.095, 0, 49.2974, 98.4637, 56.5677, 113.102, 49.2974, 98.4637, 0, 0, 56.5677, 0, 49.2973, 1.97485E-005, 45.9814, 1.57006, 47.5515, 1.74584, 0, 0, 0, 0, 49.2974, 0, 0, 0, 0, 0, 0, 49.2973, 0, 0, 0, 0, 0, 0, 1.97485E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2528.24, 0, 0, 0, 0, 0, 0
