"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
114, "Line.l115", 400, 600, 100.0275, 66.685, 2.4 
114, "Line.sw1", 400, 600, 100.0275, 66.685, 2.4 
129, "Line.l115", 400, 600, 101.0112, 67.34077, 2.4 
129, "Line.sw1", 400, 600, 101.0112, 67.34077, 2.4 
130, "Line.l115", 400, 600, 102.8704, 68.58027, 2.4 
130, "Line.sw1", 400, 600, 102.8704, 68.58027, 2.4 
131, "Line.l115", 400, 600, 102.0372, 68.02479, 2.4 
131, "Line.sw1", 400, 600, 102.0372, 68.02479, 2.4 
133, "Line.l115", 400, 600, 100.5301, 67.02006, 2.4 
133, "Line.sw1", 400, 600, 100.5301, 67.02006, 2.4 
137, "Line.l115", 400, 600, 100.1984, 66.79892, 2.4 
137, "Line.sw1", 400, 600, 100.1984, 66.79892, 2.4 
138, "Line.l115", 400, 600, 101.8603, 67.90686, 2.4 
138, "Line.sw1", 400, 600, 101.8603, 67.90686, 2.4 
139, "Line.l115", 400, 600, 100.87, 67.24668, 2.4 
139, "Line.sw1", 400, 600, 100.87, 67.24668, 2.4 
299, "Line.l115", 400, 600, 101.9945, 67.99636, 2.4 
299, "Line.sw1", 400, 600, 101.9945, 67.99636, 2.4 
300, "Line.l115", 400, 600, 100.6643, 67.10953, 2.4 
300, "Line.sw1", 400, 600, 100.6643, 67.10953, 2.4 
301, "Line.l115", 400, 600, 100.1613, 66.7742, 2.4 
301, "Line.sw1", 400, 600, 100.1613, 66.7742, 2.4 
306, "Line.l115", 400, 600, 103.5019, 69.00124, 2.4 
306, "Line.l3", 400, 600, 100.4515, 66.96765, 2.4 
306, "Line.sw1", 400, 600, 103.5019, 69.00124, 2.4 
307, "Line.l115", 400, 600, 102.6688, 68.44586, 2.4 
307, "Line.sw1", 400, 600, 102.6688, 68.44586, 2.4 
308, "Line.l115", 400, 600, 100.1738, 66.78253, 2.4 
308, "Line.sw1", 400, 600, 100.1738, 66.78253, 2.4 
322, "Line.l115", 400, 600, 100.1178, 66.7452, 2.4 
322, "Line.sw1", 400, 600, 100.1178, 66.7452, 2.4 
323, "Line.l115", 400, 600, 101.6627, 67.77514, 2.4 
323, "Line.sw1", 400, 600, 101.6627, 67.77514, 2.4 
324, "Line.l115", 400, 600, 100.3311, 66.88739, 2.4 
324, "Line.sw1", 400, 600, 100.3311, 66.88739, 2.4 
330, "Line.l115", 400, 600, 106.1795, 70.78632, 2.4 
330, "Line.l3", 400, 600, 103.0519, 68.70124, 2.4 
330, "Line.l7", 400, 600, 101.4823, 67.65487, 2.4 
330, "Line.sw1", 400, 600, 106.1795, 70.78632, 2.4 
331, "Line.l115", 400, 600, 106.1783, 70.7855, 2.4 
331, "Line.l3", 400, 600, 103.0506, 68.70043, 2.4 
331, "Line.l7", 400, 600, 101.4811, 67.65407, 2.4 
331, "Line.sw1", 400, 600, 106.1783, 70.7855, 2.4 
332, "Line.l115", 400, 600, 103.5014, 69.00095, 2.4 
332, "Line.l3", 400, 600, 100.451, 66.96736, 2.4 
332, "Line.sw1", 400, 600, 103.5014, 69.00095, 2.4 
333, "Line.l115", 400, 600, 102.3363, 68.22423, 2.4 
333, "Line.sw1", 400, 600, 102.3363, 68.22423, 2.4 
371, "Line.l115", 400, 600, 101.9945, 67.99636, 2.4 
371, "Line.sw1", 400, 600, 101.9945, 67.99636, 2.4 
395, "Line.l115", 400, 600, 100.4758, 66.98385, 2.4 
