"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage"
1, 80, 0.999999, 0, 1.04638
2, 80, 0.999999, 0, 1.04672
3, 80, 0.994431, 0, 1.04025
4, 80, 0.994309, 0, 1.04008
5, 80, 0.994188, 0, 1.03991
6, 80, 0.993583, 0, 1.03906
7, 80, 0.992916, 0, 1.03813
8, 80, 0.99346, 0, 1.03889
9, 80, 0.993158, 0, 1.03847
10, 80, 0.994005, 0, 1.03965
11, 80, 0.994127, 0, 1.03983
12, 80, 0.995035, 0, 1.0411
13, 80, 0.995277, 0, 1.04144
14, 80, 0.99564, 0, 1.04195
15, 80, 0.996003, 0, 1.04246
16, 80, 0.996003, 0, 1.04246
17, 80, 0.994249, 0, 1.04
18, 80, 0.991146, 0, 1.03564
19, 80, 0.991753, 0, 1.03649
20, 80, 0.9923, 0, 1.03726
21, 80, 0.993209, 0, 1.03854
22, 80, 0.9943, 0, 1.04007
23, 80, 0.996003, 0, 1.04246
24, 80, 0.997347, 0, 1.04492
25, 80, 0.998083, 0, 1.04635
26, 80, 0.998473, 0, 1.04711
27, 80, 0.99869, 0, 1.04753
28, 80, 0.998561, 0, 1.04728
29, 80, 0.998474, 0, 1.04711
30, 80, 0.997738, 0, 1.04568
31, 80, 0.996349, 0, 1.04297
32, 80, 0.995762, 0, 1.04212
33, 80, 0.994916, 0, 1.04093
34, 80, 0.993583, 0, 1.03906
35, 80, 0.992916, 0, 1.03813
36, 80, 0.992543, 0, 1.03761
37, 80, 0.992907, 0, 1.03812
38, 80, 0.993392, 0, 1.0388
39, 80, 0.993756, 0, 1.03931
40, 80, 0.993514, 0, 1.03897
41, 80, 0.992058, 0, 1.03692
42, 85, 0.98951, 0, 1.03751
43, 80, 0.989184, 0, 1.03925
44, 80, 0.989428, 0, 1.0396
45, 80, 0.990769, 0, 1.0415
46, 80, 0.992717, 0, 1.04426
47, 80, 0.995084, 0, 1.0476
48, 80, 0.996795, 0, 1.04347
49, 80, 0.997157, 0, 1.04398
50, 80, 0.997398, 0, 1.04431
51, 80, 0.997459, 0, 1.0444
52, 80, 0.996795, 0, 1.04347
53, 80, 0.996191, 0, 1.04262
54, 80, 0.993226, 0, 1.04024
55, 80, 0.988451, 0, 1.03821
56, 84, 0.98569, 0, 1.03467
57, 86, 0.98471, 0, 1.03376
58, 86, 0.984585, 0, 1.03367
59, 80, 0.984001, 0, 1.03832
60, 80, 0.984554, 0, 1.03911
61, 80, 0.984494, 0, 1.03903
62, 80, 0.984984, 0, 1.03973
63, 80, 0.985537, 0, 1.04052
64, 80, 0.985906, 0, 1.04105
65, 80, 0.984002, 0, 1.03833
66, 80, 0.983019, 0, 1.03692
67, 80, 0.983446, 0, 1.03753
68, 80, 0.98443, 0, 1.03894
69, 80, 0.985107, 0, 1.03991
70, 80, 0.98744, 0, 1.04324
71, 80, 0.989957, 0, 1.04683
72, 80, 0.991787, 0, 1.04943
73, 80, 0.993263, 0, 1.04502
74, 80, 0.993687, 0, 1.04562
75, 80, 0.99387, 0, 1.04588
76, 80, 0.993627, 0, 1.04553
77, 80, 0.993142, 0, 1.04485
78, 80, 0.990526, 0, 1.04115
79, 82, 0.986496, 0, 1.03556
80, 86, 0.984892, 0, 1.0339
81, 86, 0.984892, 0, 1.0339
82, 85, 0.98532, 0, 1.03426
83, 84, 0.985688, 0, 1.03467
84, 82, 0.986422, 0, 1.03549
85, 82, 0.986485, 0, 1.03556
86, 80, 0.987218, 0, 1.03646
87, 80, 0.988196, 0, 1.03785
88, 80, 0.988696, 0, 1.03855
89, 80, 0.987474, 0, 1.03682
90, 85, 0.985566, 0, 1.03454
91, 84, 0.98575, 0, 1.03474
92, 81, 0.986667, 0, 1.03576
93, 80, 0.987219, 0, 1.03646
94, 80, 0.98888, 0, 1.03881
95, 80, 0.991073, 0, 1.04192
96, 80, 0.993141, 0, 1.04485
97, 80, 0.994293, 0, 1.04647
98, 80, 0.994719, 0, 1.04708
99, 80, 0.99484, 0, 1.04725
100, 80, 0.994719, 0, 1.04708
101, 80, 0.993992, 0, 1.04605
102, 80, 0.991561, 0, 1.04261
103, 80, 0.987046, 0, 1.03621
104, 80, 0.984431, 0, 1.03894
105, 80, 0.983634, 0, 1.0378
106, 80, 0.983264, 0, 1.03727
107, 82, 0.982648, 0, 1.03639
108, 80, 0.983077, 0, 1.037
