"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "Aux1", "Aux2", "Aux3", "Aux4", "Aux5", "Aux6", "Aux7"
1, 1531.65, 66.0038, 1531.65, 1533.07, 1511.86, 842.181, 1511.86, 1730.6, 0, 0, 1511.86, 0, 19.7953, 39.0283, 19.7953, 39.0283, 19.7953, 39.0283, 0, 0, 19.7953, 0, 19.7953, 1.00487E-005, 18.5801, 0.54041, 19.1205, 0.674852, 0, 0, 0, 0, 19.7953, 0, 0, 0, 0, 0, 0
2, 1517.48, 57.3879, 1531.65, 1533.07, 1497.94, 834.528, 1511.86, 1730.6, 0, 0, 1497.94, 0, 19.5239, 38.4807, 19.7953, 39.0283, 19.5239, 38.4807, 0, 0, 19.7953, 0, 19.5239, 9.9794E-006, 18.3301, 0.530223, 18.8603, 0.663616, 0, 0, 0, 0, 19.5239, 0, 0, 0, 0, 0, 0
3, 1502.01, 56.0937, 1531.65, 1533.07, 1482.65, 823.547, 1511.86, 1730.6, 0, 0, 1546.57, 63.9161, 19.3504, 38.1457, 19.7953, 39.0283, 19.3504, 38.1457, 0, 0, 19.7953, 0, 19.3504, 9.89927E-006, 18.1668, 0.526415, 18.6932, 0.657178, 0, 0, 0, 0, 19.3504, 0, 0, 0, 0, 0, 0
4, 1509.06, 60.3758, 1531.65, 1533.07, 1489.59, 827.348, 1511.86, 1730.6, 0, 0, 1555.6, 66.0156, 19.4856, 38.4186, 19.7953, 39.0283, 19.4856, 38.4186, 0, 0, 19.7953, 0, 19.4856, 9.93574E-006, 18.2913, 0.531548, 18.8228, 0.662772, 0, 0, 0, 0, 19.4856, 0, 0, 0, 0, 0, 0
5, 1516.13, 64.6645, 1531.65, 1533.07, 1496.52, 831.157, 1511.86, 1730.6, 0, 0, 1564.67, 68.1481, 19.6219, 38.6938, 19.7953, 39.0283, 19.6219, 38.6938, 0, 0, 19.7953, 0, 19.6219, 9.97151E-006, 18.4168, 0.536709, 18.9535, 0.668406, 0, 0, 0, 0, 19.6219, 0, 0, 0, 0, 0, 0
6, 1551.46, 86.1105, 1551.46, 1553.85, 1531.18, 850.171, 1531.18, 1751.37, 0, 0, 1610.56, 79.377, 20.3168, 40.0963, 20.3168, 40.0963, 20.3168, 40.0963, 0, 0, 20.3168, 0, 20.3167, 1.01516E-005, 19.057, 0.562821, 19.6198, 0.696964, 0, 0, 0, 0, 20.3168, 0, 0, 0, 0, 0, 0
7, 1590.35, 109.745, 1590.35, 1594.13, 1569.29, 871.082, 1569.29, 1794.84, 0, 0, 1662.88, 93.5923, 21.1085, 41.6946, 21.1085, 41.6946, 21.1085, 41.6946, 0, 0, 21.1085, 0, 21.1084, 1.03668E-005, 19.7868, 0.592397, 20.3792, 0.729227, 0, 0, 0, 0, 21.1085, 0, 0, 0, 0, 0, 0
8, 1558.6, 90.4394, 1590.35, 1594.13, 1538.11, 854.02, 1569.29, 1794.84, 0, 0, 1620.66, 82.5453, 20.4605, 40.3865, 21.1085, 41.6946, 20.4605, 40.3865, 0, 0, 21.1085, 0, 20.4604, 1.01921E-005, 19.1892, 0.568359, 19.7576, 0.702852, 0, 0, 0, 0, 20.4605, 0, 0, 0, 0, 0, 0
9, 1576.23, 101.157, 1590.35, 1594.13, 1555.43, 863.494, 1569.29, 1794.84, 0, 0, 1643.81, 88.3787, 20.8179, 41.108, 21.1085, 41.6946, 20.8179, 41.108, 0, 0, 21.1085, 0, 20.8179, 1.02895E-005, 19.5188, 0.581616, 20.1004, 0.717422, 0, 0, 0, 0, 20.8179, 0, 0, 0, 0, 0, 0
10, 1526.8, 71.1269, 1590.35, 1594.13, 1506.92, 836.906, 1569.29, 1794.84, 0, 0, 1578.9, 71.9837, 19.8297, 39.1132, 21.1085, 41.6946, 19.8297, 39.1132, 0, 0, 21.1085, 0, 19.8297, 1.0024E-005, 18.608, 0.544678, 19.1527, 0.676979, 0, 0, 0, 0, 19.8297, 0, 0, 0, 0, 0, 0
11, 1519.69, 66.8161, 1590.35, 1594.13, 1499.99, 833.071, 1569.29, 1794.84, 0, 0, 1569.37, 69.3789, 19.6908, 38.8329, 21.1085, 41.6946, 19.6908, 38.8329, 0, 0, 21.1085, 0, 19.6908, 9.98849E-006, 18.4802, 0.539344, 19.0196, 0.671251, 0, 0, 0, 0, 19.6908, 0, 0, 0, 0, 0, 0
12, 1466.71, 34.6922, 1590.35, 1594.13, 1447.97, 804.516, 1569.29, 1794.84, 0, 0, 1502.4, 54.4368, 18.6883, 36.8097, 21.1085, 41.6946, 18.6883, 36.8097, 0, 0, 21.1085, 0, 18.6883, 9.73309E-006, 17.5574, 0.501316, 18.0587, 0.629629, 0, 0, 0, 0, 18.6883, 0, 0, 0, 0, 0, 0
13, 1452.53, 26.1135, 1590.35, 1594.13, 1434.09, 796.861, 1569.29, 1794.84, 0, 0, 1484.34, 50.2503, 18.4285, 36.2854, 21.1085, 41.6946, 18.4285, 36.2854, 0, 0, 21.1085, 0, 18.4285, 9.66536E-006, 17.3185, 0.491276, 17.8098, 0.61874, 0, 0, 0, 0, 18.4285, 0, 0, 0, 0, 0, 0
14, 1431.33, 13.282, 1590.35, 1594.13, 1413.26, 785.415, 1569.29, 1794.84, 0, 0, 1457.86, 44.5965, 18.0473, 35.5161, 21.1085, 41.6946, 18.0473, 35.5161, 0, 0, 21.1085, 0, 18.0473, 9.57268E-006, 16.968, 0.476605, 17.4446, 0.602691, 0, 0, 0, 0, 18.0473, 0, 0, 0, 0, 0, 0
15, 1410.13, 0.457143, 1590.35, 1594.13, 1392.43, 773.957, 1569.29, 1794.84, 0, 0, 1431.47, 39.0369, 17.6741, 34.7633, 21.1085, 41.6946, 17.6741, 34.7633, 0, 0, 21.1085, 0, 17.6741, 9.48289E-006, 16.6251, 0.462151, 17.0872, 0.586887, 0, 0, 0, 0, 17.6741, 0, 0, 0, 0, 0, 0
16, 1410.11, 0.448656, 1590.35, 1594.13, 1392.43, 773.944, 1569.29, 1794.84, 0, 0, 1431.32, 38.8835, 17.6737, 34.7623, 21.1085, 41.6946, 17.6737, 34.7623, 0, 0, 21.1085, 0, 17.6736, 9.48375E-006, 16.6247, 0.462093, 17.0868, 0.586865, 0, 0, 0, 0, 17.6737, 0, 0, 0, 0, 0, 0
17, 1512.6, 62.5216, 1590.35, 1594.13, 1493.05, 829.255, 1569.29, 1794.84, 0, 0, 1560.13, 67.0786, 19.5537, 38.5562, 21.1085, 41.6946, 19.5537, 38.5562, 0, 0, 21.1085, 0, 19.5537, 9.95353E-006, 18.354, 0.53413, 18.8881, 0.665589, 0, 0, 0, 0, 19.5537, 0, 0, 0, 0, 0, 0
18, 1692.98, 172.361, 1692.98, 1701.73, 1669.64, 926.25, 1669.64, 1909.36, 0, 0, 1806.64, 136.996, 23.3322, 46.1854, 23.3322, 46.1854, 23.3322, 46.1854, 0, 0, 23.3322, 0, 23.3322, 1.09826E-005, 21.8394, 0.674465, 22.5138, 0.818367, 0, 0, 0, 0, 23.3322, 0, 0, 0, 0, 0, 0
