"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 3599.66866760057, 1336.88290383441, 3599.66866760057, 3839.90500078712, 95.551296856388, 192.261738721315, 95.551296856388
2, 3599.63087617059, 1336.86504434583, 3599.66866760057, 3839.90500078712, 95.5486054859336, 192.25588979098, 95.551296856388
3, 3599.6305210568, 1336.86482565548, 3599.66866760057, 3839.90500078712, 95.5485684497188, 192.255804127552, 95.551296856388
4, 3599.63051669661, 1336.86482201778, 3599.66866760057, 3839.90500078712, 95.5485678591158, 192.25580281727, 95.551296856388
5, 3599.63051664705, 1336.86482200276, 3599.66866760057, 3839.90500078712, 95.5485678825873, 192.255802774378, 95.551296856388
6, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.548567857962, 192.25580278311, 95.551296856388
7, 3599.63051665494, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678571838, 192.255802776551, 95.551296856388
8, 3599.63051665494, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678568632, 192.255802782452, 95.551296856388
9, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678576386, 192.25580277979, 95.551296856388
10, 3599.63051665494, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678547337, 192.255802779517, 95.551296856388
11, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678577433, 192.25580278279, 95.551296856388
12, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678554083, 192.255802778053, 95.551296856388
13, 3599.63051665494, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678547416, 192.255802779521, 95.551296856388
14, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678577433, 192.25580278279, 95.551296856388
15, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678554083, 192.255802778053, 95.551296856388
16, 3599.63051665494, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678547416, 192.255802779521, 95.551296856388
17, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678577433, 192.25580278279, 95.551296856388
18, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678554083, 192.255802778053, 95.551296856388
19, 3599.63051665494, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678547416, 192.255802779521, 95.551296856388
20, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678577433, 192.25580278279, 95.551296856388
21, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678554083, 192.255802778053, 95.551296856388
22, 3599.63051665494, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678547416, 192.255802779521, 95.551296856388
23, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678577433, 192.25580278279, 95.551296856388
24, 3599.63051665485, 1336.86482197608, 3599.66866760057, 3839.90500078712, 95.5485678554083, 192.255802778053, 95.551296856388
