Time,PV1,PV2,PV3
10,50.35,0.801,88.6
10.00138889,41.01,0.78,113
10.00277778,69.16,0.785,167.2
10.00416667,94.5,0.763,207.1
10.00555556,111.9,0.722,189.6
10.00694444,103,0.737,196.2
10.00833333,98.6,0.706,79.2
10.00972222,36.45,0.79,75
10.01111111,34.74,0.793,74.4
10.0125,34.17,0.799,74.4
10.01388889,34.6,0.8,74.8
10.01527778,34.98,0.812,76.8
10.01666667,37.68,0.794,102.5
10.01805556,59.67,0.764,144.1
10.01944444,75.4,0.779,140.9
10.02083333,97.9,0.736,206.4
10.02222222,104,0.679,127.7
10.02361111,65.29,0.773,109.2
10.025,55.9,0.771,158.2
10.02638889,77.1,0.759,88.5
10.02777778,47.48,0.792,135.6
10.02916667,5.37,0,71.7
10.03055556,31.05,0.79,65.13
10.03194444,28.24,0.788,62.42
10.03333333,26.75,0.797,60.62
10.03472222,25.77,0.788,59.66
10.03611111,25.07,0.81,59.3
10.0375,24.44,0.81,58.22
10.03888889,23.75,0.805,57.02
10.04027778,23.14,0.797,56.42
10.04166667,22.78,0.794,55.22
10.04305556,22.08,0.789,54.8
10.04444444,21.81,0.812,54.62
10.04583333,21.65,0.803,54.62
10.04722222,21.71,0.796,55.22
10.04861111,22.08,0.809,55.82
10.05,22.71,0.816,57.02
10.05138889,23.66,0.817,58.82
10.05277778,24.72,0.792,60.02
10.05416667,25.75,0.801,61.64
10.05555556,26.84,0.804,63.63
10.05694444,28.4,0.803,67.83
10.05833333,31.67,0.824,78
10.05972222,38.56,0.786,97.8
10.06111111,80.3,0.787,156.8
10.0625,78.4,0.757,112.8
10.06388889,4.341,0.945,63.63
10.06527778,26.76,0.795,60.63
10.06666667,25.71,0.808,59.48
10.06805556,24.91,0.816,59.24
10.06944444,24.41,0.788,58.16
10.07083333,24.21,0.817,57.98
10.07222222,24.24,0.803,58.64
10.07361111,24.54,0.812,59.24
10.075,25.05,0.797,60.32
10.07638889,25.88,0.798,61.89
10.07777778,26.94,0.8,63.63
10.07916667,28.46,0.802,67.05
10.08055556,30.87,0.796,80.7
10.08194444,49.78,0.786,86.1
10.08333333,40.39,0.811,76.8
10.08472222,36.77,0.807,79.8
10.08611111,39.13,0.815,88.1
10.0875,45.51,0.814,136.8
10.08888889,75.6,0.757,88.6
10.09027778,42.46,0.786,83.4
10.09166667,40.37,0.788,83.7
10.09305556,41.21,0.778,87
10.09444444,43.23,0.799,88.3
10.09583333,44.59,0.808,109.1
10.09722222,70.8,0.753,170.9
10.09861111,79.5,0.745,186.2
10.1,111.6,0.766,114.9
10.10138889,50.55,0.775,91.8
10.10277778,54.31,0.803,118.1
10.10416667,62.34,0.773,77.7
10.10555556,35.56,0.808,73.2
10.10694444,33.46,0.817,72
10.10833333,33.07,0.798,73.4
10.10972222,34.58,0.818,84.3
10.11111111,45.29,0.818,100.9
10.1125,50.18,0.812,137
10.11388889,66.09,0.739,108.9
10.11527778,49.95,0.762,86.6
10.11666667,55.5,0.781,82.8
10.11805556,39.67,0.79,86.7
10.11944444,67.1,0.784,83.4
10.12083333,45.8,0.802,72
10.12222222,32.55,0.804,70.2
10.12361111,31.91,0.793,70.2
10.125,31.96,0.788,70.3
10.12638889,32.03,0.782,70.9
10.12777778,32.62,0.804,72
10.12916667,33.11,0.808,73.2
10.13055556,33.95,0.818,75.9
10.13194444,36.88,0.793,79.1
10.13333333,37.23,0.799,78.6
10.13472222,38.1,0.805,83.4
10.13611111,40,0.802,84.5
10.1375,41.73,0.803,87.6
10.13888889,44.02,0.803,93
10.14027778,47.62,0.81,102.4
10.14166667,65.92,0.809,178.3
10.14305556,106.8,0.756,118.2
10.14444444,53.65,0.751,154.9
10.14583333,85.5,0.771,201.7
10.14722222,96.4,0.766,104.5
10.14861111,54.38,0.773,124.3
10.15,58.28,0.775,97.8
10.15138889,50.37,0.784,157
10.15277778,100.2,0.79,186.4
10.15416667,106,0.682,153.6
10.15555556,89,0.761,153.1
10.15694444,84.3,0.74,111.8
10.15833333,55.46,0.779,115.8
10.15972222,68.32,0.75,117
10.16111111,64.69,0.767,101.8
10.1625,50.09,0.762,117.7
10.16388889,61.29,0.8,88.2
10.16527778,43.08,0.801,95.4
10.16666667,45.16,0.806,88.3
10.16805556,44.76,0.812,89.2
10.16944444,43.5,0.763,95.1
10.17083333,55.63,0.777,97.8
10.17222222,47.87,0.782,103.5
10.17361111,51.55,0.773,100.2
10.175,49.45,0.808,112.8
10.17638889,77.5,0.814,164.4
10.17777778,86.6,0.761,122.1
10.17916667,58.56,0.777,86.3
10.18055556,39.82,0.786,75
10.18194444,34.23,0.803,74.4
10.18333333,33.86,0.776,75.1
10.18472222,37.54,0.794,189.8
10.18611111,5.426,0,70.8
10.1875,31.23,0.794,69.02
10.18888889,30.37,0.781,69.26
10.19027778,33.16,0.802,155.3
10.19166667,81.5,0.725,195.9
10.19305556,104.4,0.699,198.1
10.19444444,105.2,0.69,197.1
10.19583333,104.9,0.77,184.1
10.19722222,85.6,0.763,185.5
10.19861111,101.9,0.733,75.6
10.2,34.14,0.788,72.6
10.20138889,33.02,0.78,74.4
10.20277778,35.3,0.814,127.1
10.20416667,54.92,0.778,94.2
10.20555556,53.65,0.793,85
10.20694444,41.9,0.781,88.2
10.20833333,42.97,0.793,87
10.20972222,45.31,0.783,85.7
10.21111111,42.35,0.792,88.8
10.2125,40.37,0.781,78
10.21388889,36.44,0.778,77.4
10.21527778,36.48,0.79,80.7
10.21666667,39.84,0.788,206
10.21805556,104.1,0.775,110.3
10.21944444,47.72,0.784,85.4
10.22083333,40.09,0.797,84
10.22222222,42.17,0.781,135.2
10.22361111,65.15,0.746,92.6
10.225,47,0.769,84
10.22638889,42.02,0.771,101.6
10.22777778,58.22,0.788,162.7
10.22916667,64.6,0,138.7
10.23055556,69.13,0.766,109.5
10.23194444,47.36,0.784,85.5
10.23333333,48.32,0.783,75
10.23472222,33.34,0.748,70.7
10.23611111,31.7,0.782,67.22
10.2375,29.35,0.809,65.48
10.23888889,29.14,0.801,66.62
10.24027778,29.88,0.785,75.8
10.24166667,47.73,0.799,72
10.24305556,32.59,0.798,70.8
10.24444444,32.68,0.799,72
10.24583333,33.02,0.822,72
10.24722222,33.06,0.816,72.3
10.24861111,33.33,0.816,73.8
10.25,34.39,0.783,76.2
10.25138889,36.06,0.776,82.2
10.25277778,39.35,0.794,82.8
10.25416667,39.92,0.792,84
10.25555556,41.09,0.815,89.7
10.25694444,48.13,0.815,129.3
10.25833333,108.6,0.739,208.5
10.25972222,117.8,0.686,191.8
10.26111111,106.2,0.76,181.6
10.2625,103.2,0.741,130.8
10.26388889,65.97,0.748,92.4
10.26527778,45.37,0.783,89.4
10.26666667,44.02,0.77,90.6
10.26805556,46.57,0.796,96.8
10.26944444,46.44,0.764,99.8
10.27083333,51.19,0.788,103.4
10.27222222,61.13,0.772,84
10.27361111,38.5,0.792,74.7
10.275,34.27,0.789,72
10.27638889,32.83,0.806,70.8
10.27777778,32.16,0.796,70.2
10.27916667,31.74,0.784,69.02
10.28055556,31.24,0.781,69.02
10.28194444,31.29,0.811,69.63
10.28333333,31.55,0.787,70.2
10.28472222,32.18,0.782,72
10.28611111,33.3,0.785,75
10.2875,35.71,0.811,80.5
10.28888889,39.42,0.818,115.7
10.29027778,85,0.753,111.5
10.29166667,57.12,0.801,195.7
10.29305556,109.2,0.742,209.5
10.29444444,110.7,0.711,211.5
