"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
9, "Line.L115", 400, 600, 101.8752, 67.91677, 2.4 
9, "Line.SW1", 400, 600, 101.8752, 67.91677, 2.4 
10, "Line.L115", 400, 600, 108.2716, 72.18103, 2.4 
10, "Line.L3", 400, 600, 104.2446, 69.49639, 2.4 
10, "Line.L7", 400, 600, 102.2186, 68.14573, 2.4 
10, "Line.SW1", 400, 600, 108.2716, 72.18103, 2.4 
11, "Line.L115", 400, 600, 116.4968, 77.66456, 2.4 
11, "Line.L3", 400, 600, 112.189, 74.79264, 2.4 
11, "Line.L7", 400, 600, 110.0201, 73.34672, 2.4 
11, "Line.SW1", 400, 600, 116.4968, 77.66456, 2.4 
12, "Line.L115", 400, 600, 123.0637, 82.04244, 2.4 
12, "Line.L3", 400, 600, 118.555, 79.03666, 2.4 
12, "Line.L7", 400, 600, 116.2839, 77.52257, 2.4 
12, "Line.L10", 400, 600, 104.782, 69.85465, 2.4 
12, "Line.SW1", 400, 600, 123.0637, 82.04244, 2.4 
13, "Line.L115", 400, 600, 122.514, 81.67601, 2.4 
13, "Line.L3", 400, 600, 118.0239, 78.68259, 2.4 
13, "Line.L7", 400, 600, 115.7622, 77.17479, 2.4 
13, "Line.L10", 400, 600, 104.3071, 69.5381, 2.4 
13, "Line.SW1", 400, 600, 122.514, 81.67601, 2.4 
14, "Line.L115", 400, 600, 121.8263, 81.2175, 2.4 
14, "Line.L3", 400, 600, 117.3593, 78.23954, 2.4 
14, "Line.L7", 400, 600, 115.1094, 76.73962, 2.4 
14, "Line.L10", 400, 600, 103.713, 69.14198, 2.4 
14, "Line.SW1", 400, 600, 121.8263, 81.2175, 2.4 
15, "Line.L115", 400, 600, 123.1668, 82.1112, 2.4 
15, "Line.L3", 400, 600, 118.6545, 79.10302, 2.4 
15, "Line.L7", 400, 600, 116.3816, 77.58773, 2.4 
15, "Line.L10", 400, 600, 104.8706, 69.91375, 2.4 
15, "Line.SW1", 400, 600, 123.1668, 82.1112, 2.4 
16, "Line.L115", 400, 600, 124.4347, 82.95644, 2.4 
16, "Line.L3", 400, 600, 119.8797, 79.91981, 2.4 
16, "Line.L7", 400, 600, 117.585, 78.39002, 2.4 
16, "Line.L10", 400, 600, 105.9663, 70.64421, 2.4 
16, "Line.SW1", 400, 600, 124.4347, 82.95644, 2.4 
17, "Line.L115", 400, 600, 124.5774, 83.05161, 2.4 
17, "Line.L3", 400, 600, 120.0178, 80.01185, 2.4 
17, "Line.L7", 400, 600, 117.7207, 78.48045, 2.4 
17, "Line.L10", 400, 600, 106.0901, 70.72671, 2.4 
17, "Line.SW1", 400, 600, 124.5774, 83.05161, 2.4 
18, "Line.L115", 400, 600, 118.7681, 79.1787, 2.4 
