"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage"
1, 73, 0.995481, 0, 1.04752
2, 72, 0.998217, 0, 1.04479
3, 80, 0.992844, 0, 1.03911
4, 80, 0.994236, 0, 1.0409
5, 80, 0.994403, 0, 1.04112
6, 80, 0.993187, 0, 1.03953
7, 82, 0.990179, 0, 1.03641
8, 83, 0.985207, 0, 1.036
9, 84, 0.980599, 0, 1.03578
10, 76, 0.984236, 0, 1.03913
11, 81, 0.980895, 0, 1.03795
12, 70, 0.984466, 0, 1.04342
13, 70, 0.98469, 0, 1.0435
14, 70, 0.984969, 0, 1.0436
15, 70, 0.984426, 0, 1.0434
16, 72, 0.983911, 0, 1.04322
17, 72, 0.983853, 0, 1.0432
18, 68, 0.986217, 0, 1.04402
19, 67, 0.987442, 0, 1.04446
20, 66, 0.988724, 0, 1.04491
21, 66, 0.990799, 0, 1.04616
22, 66, 0.9908, 0, 1.04616
23, 65, 0.993387, 0, 1.04665
24, 65, 0.997424, 0, 1.04852
25, 73, 0.99548, 0, 1.04752
26, 72, 0.998217, 0, 1.04479
27, 80, 0.992844, 0, 1.03911
28, 80, 0.994236, 0, 1.0409
29, 80, 0.994403, 0, 1.04112
30, 80, 0.993187, 0, 1.03953
31, 82, 0.990179, 0, 1.03641
32, 83, 0.985207, 0, 1.036
33, 84, 0.980599, 0, 1.03578
34, 76, 0.984236, 0, 1.03913
35, 81, 0.980895, 0, 1.03795
36, 70, 0.984466, 0, 1.04342
37, 70, 0.98469, 0, 1.0435
38, 70, 0.984969, 0, 1.0436
39, 70, 0.984426, 0, 1.0434
40, 72, 0.983911, 0, 1.04322
41, 72, 0.983853, 0, 1.0432
42, 68, 0.986217, 0, 1.04402
43, 67, 0.987442, 0, 1.04446
44, 66, 0.988724, 0, 1.04491
45, 66, 0.990799, 0, 1.04616
46, 66, 0.9908, 0, 1.04616
47, 65, 0.993387, 0, 1.04665
48, 65, 0.997424, 0, 1.04852
49, 73, 0.99548, 0, 1.04752
50, 72, 0.998217, 0, 1.04479
51, 80, 0.992844, 0, 1.03911
52, 80, 0.994236, 0, 1.0409
53, 80, 0.994403, 0, 1.04112
54, 80, 0.993187, 0, 1.03953
55, 82, 0.990179, 0, 1.03641
56, 83, 0.985207, 0, 1.036
57, 84, 0.980599, 0, 1.03578
58, 76, 0.984236, 0, 1.03913
59, 81, 0.980895, 0, 1.03795
60, 70, 0.984466, 0, 1.04342
61, 70, 0.98469, 0, 1.0435
62, 70, 0.984969, 0, 1.0436
63, 70, 0.984426, 0, 1.0434
64, 72, 0.983911, 0, 1.04322
65, 72, 0.983853, 0, 1.0432
66, 68, 0.986217, 0, 1.04402
67, 67, 0.987442, 0, 1.04446
68, 66, 0.988724, 0, 1.04491
69, 66, 0.990799, 0, 1.04616
70, 66, 0.9908, 0, 1.04616
71, 65, 0.993387, 0, 1.04665
72, 65, 0.997424, 0, 1.04852
73, 73, 0.99548, 0, 1.04752
74, 72, 0.998217, 0, 1.04479
75, 80, 0.992844, 0, 1.03911
76, 80, 0.994236, 0, 1.0409
77, 80, 0.994403, 0, 1.04112
78, 80, 0.993187, 0, 1.03953
79, 82, 0.990179, 0, 1.03641
80, 83, 0.985207, 0, 1.036
81, 84, 0.980599, 0, 1.03578
82, 76, 0.984236, 0, 1.03913
83, 81, 0.980895, 0, 1.03795
84, 70, 0.984466, 0, 1.04342
85, 70, 0.98469, 0, 1.0435
86, 70, 0.984969, 0, 1.0436
87, 70, 0.984426, 0, 1.0434
88, 72, 0.983911, 0, 1.04322
89, 72, 0.983853, 0, 1.0432
90, 68, 0.986217, 0, 1.04402
91, 67, 0.987442, 0, 1.04446
92, 66, 0.988724, 0, 1.04491
93, 66, 0.990799, 0, 1.04616
94, 66, 0.9908, 0, 1.04616
95, 65, 0.993387, 0, 1.04665
96, 65, 0.997424, 0, 1.04852
97, 73, 0.99548, 0, 1.04752
