
BUSES AND NODES IN ACTIVE CIRCUIT: ieee123

                                   Coord                        Number of     Nodes 
  Bus         Base kV             (x, y)            Keep?       Nodes      connected ...

"150"        4.160          ( 100          , 1500         )     No           3          1    2    3 
"150r"       4.160          ( 100          , 1500         )     No           3          1    2    3 
"149"        4.160          ( 300          , 1500         )     No           3          1    2    3 
"1"          4.160          ( 700          , 1500         )     No           3          1    2    3 
"2"          4.160          ( 700          , 1675         )     No           1          2 
"3"          4.160          ( 700          , 1250         )     No           1          3 
"7"          4.160          ( 1000         , 1500         )     No           3          1    2    3 
"4"          4.160          ( 700          , 1050         )     No           1          3 
"5"          4.160          ( 1025         , 1250         )     No           1          3 
"6"          4.160          ( 1275         , 1150         )     No           1          3 
"8"          4.160          ( 1200         , 1500         )     No           3          1    2    3 
"12"         4.160          ( 1200         , 1275         )     No           1          2 
"9"          4.160          ( 1200         , 1725         )     No           1          1 
"13"         4.160          ( 1500         , 1500         )     No           3          1    2    3 
"9r"         4.160          ( 1200         , 1725         )     No           1          1 
"14"         4.160          ( 1200         , 2150         )     No           1          1 
"34"         4.160          ( 1500         , 1350         )     No           1          3 
"18"         4.160          ( 1500         , 2325         )     No           3          1    2    3 
"11"         4.160          ( 950          , 2150         )     No           1          1 
"10"         4.160          ( 1450         , 2150         )     No           1          1 
"15"         4.160          ( 1500         , 1250         )     No           1          3 
"16"         4.160          ( 1500         , 875          )     No           1          3 
"17"         4.160          ( 1850         , 1250         )     No           1          3 
"19"         4.160          ( 1250         , 2325         )     No           1          1 
"21"         4.160          ( 1500         , 2625         )     No           3          1    2    3 
"20"         4.160          ( 925          , 2325         )     No           1          1 
"22"         4.160          ( 975          , 2625         )     No           1          2 
"23"         4.160          ( 1500         , 2875         )     No           3          1    2    3 
"24"         4.160          ( 950          , 2875         )     No           1          3 
"25"         4.160          ( 1500         , 3150         )     No           3          1    2    3 
"25r"        4.160          ( 1500         , 3150         )     No           2          1    3 
"26"         4.160          ( 1150         , 3150         )     No           2          1    3 
"28"         4.160          ( 1500         , 3350         )     No           3          1    2    3 
"27"         4.160          ( 875          , 3150         )     No           2          1    3 
"31"         4.160          ( 1150         , 3375         )     No           1          3 
"33"         4.160          ( 875          , 3650         )     No           1          1 
"29"         4.160          ( 1500         , 3650         )     No           3          1    2    3 
"30"         4.160          ( 1850         , 3650         )     No           3          1    2    3 
"250"        4.160          ( 2050         , 3650         )     No           3          1    2    3 
"32"         4.160          ( 1150         , 3675         )     No           1          3 
"35"         4.160          ( 1975         , 2325         )     No           3          1    2    3 
"36"         4.160          ( 2075         , 2000         )     No           2          1    2 
"40"         4.160          ( 1975         , 2575         )     No           3          1    2    3 
"37"         4.160          ( 1775         , 2000         )     No           1          1 
"38"         4.160          ( 2325         , 2000         )     No           1          2 
"39"         4.160          ( 2650         , 2000         )     No           1          2 
"41"         4.160          ( 2300         , 2575         )     No           1          3 
"42"         4.160          ( 1975         , 2825         )     No           3          1    2    3 
"43"         4.160          ( 2475         , 2825         )     No           1          2 
"44"         4.160          ( 1975         , 3025         )     No           3          1    2    3 
"45"         4.160          ( 2175         , 3025         )     No           1          1 
"47"         4.160          ( 1975         , 3275         )     No           3          1    2    3 
