
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"150.1"            ,    0.00000,  2.40176E+0003,  2.40178E+0003
"150.2"            ,    0.00000,  2.40177E+0003,  2.40178E+0003
"150.3"            ,    0.00000,  2.40177E+0003,  2.40178E+0003
"150r.1"           ,    0.00000,  2.49182E+0003,  2.40178E+0003
"150r.2"           ,    0.00000,  2.49183E+0003,  2.40178E+0003
"150r.3"           ,    0.00000,  2.49183E+0003,  2.40178E+0003
"149.1"            ,    0.00000,  2.49182E+0003,  2.40178E+0003
"149.2"            ,    0.00000,  2.49183E+0003,  2.40178E+0003
"149.3"            ,    0.00000,  2.49183E+0003,  2.40178E+0003
"1.1"              ,    0.00000,  2.47352E+0003,  2.40178E+0003
"1.2"              ,    0.00000,  2.48857E+0003,  2.40178E+0003
"1.3"              ,    0.00000,  2.47900E+0003,  2.40178E+0003
"2.2"              ,    0.00000,  2.48803E+0003,  2.40178E+0003
"3.3"              ,    0.00000,  2.47490E+0003,  2.40178E+0003
"7.1"              ,    0.00000,  2.45975E+0003,  2.40178E+0003
"7.2"              ,    0.00000,  2.48637E+0003,  2.40178E+0003
"7.3"              ,    0.00000,  2.47168E+0003,  2.40178E+0003
"4.3"              ,    0.00000,  2.47358E+0003,  2.40178E+0003
"5.3"              ,    0.00000,  2.47173E+0003,  2.40178E+0003
"6.3"              ,    0.00000,  2.47008E+0003,  2.40178E+0003
"8.1"              ,    0.00000,  2.45090E+0003,  2.40178E+0003
"8.2"              ,    0.00000,  2.48473E+0003,  2.40178E+0003
"8.3"              ,    0.00000,  2.46683E+0003,  2.40178E+0003
"12.2"             ,    0.00000,  2.48404E+0003,  2.40178E+0003
"9.1"              ,    0.00000,  2.44730E+0003,  2.40178E+0003
"13.1"             ,    0.00000,  2.44012E+0003,  2.40178E+0003
"13.2"             ,    0.00000,  2.48142E+0003,  2.40178E+0003
"13.3"             ,    0.00000,  2.45954E+0003,  2.40178E+0003
"9r.1"             ,    0.00000,  2.44730E+0003,  2.40178E+0003
"14.1"             ,    0.00000,  2.44318E+0003,  2.40178E+0003
"34.3"             ,    0.00000,  2.45715E+0003,  2.40178E+0003
"18.1"             ,    0.00000,  2.41770E+0003,  2.40178E+0003
"18.2"             ,    0.00000,  2.47219E+0003,  2.40178E+0003
"18.3"             ,    0.00000,  2.44181E+0003,  2.40178E+0003
"11.1"             ,    0.00000,  2.44155E+0003,  2.40178E+0003
"10.1"             ,    0.00000,  2.44238E+0003,  2.40178E+0003
"15.3"             ,    0.00000,  2.45621E+0003,  2.40178E+0003
"16.3"             ,    0.00000,  2.45386E+0003,  2.40178E+0003
