
VOLTAGES ACROSS CIRCUIT ELEMENTS WITH 2 TERMINALS

Source Elements

Element,          Conductor,     Volts,   Percent,           kVBase,  Angle



Power Delivery Elements

Element,          Conductor,     Volts,   Percent,           kVBase,  Angle

Transformer.reg1a,     1,          90.057,       3.7496,       2.4018,  180.0
Transformer.reg1a,     2,          90.061,       3.7498,       2.4018,   60.0
Transformer.reg1a,     3,           90.06,       3.7497,       2.4018,  -60.0

Line.l115        ,     1,          35.459,       1.4764,       2.4018,   40.4
Line.l115        ,     2,          12.845,      0.53483,       2.4018,  -64.2
Line.l115        ,     3,          23.238,      0.96751,       2.4018,  153.2

Line.l1          ,     1,         0.52422,     0.021826,       2.4018, -105.9

Line.l2          ,     1,          3.8747,      0.16133,       2.4018,  134.0

Line.l3          ,     1,          26.138,       1.0883,       2.4018,   39.1
Line.l3          ,     2,          10.067,      0.41915,       2.4018,  -61.2
Line.l3          ,     3,          15.025,      0.62557,       2.4018,  153.3

Line.l4          ,     1,          1.2063,     0.050226,       2.4018,  134.0

Line.l5          ,     1,          3.0769,      0.12811,       2.4018,  134.0

Line.l6          ,     1,          1.5917,     0.066273,       2.4018,  134.0

Line.l7          ,     1,           17.07,      0.71073,       2.4018,   39.2
Line.l7          ,     2,          6.7509,      0.28108,       2.4018,  -62.4
Line.l7          ,     3,           10.07,      0.41925,       2.4018,  154.0

Line.l8          ,     1,         0.67641,     0.028163,       2.4018, -106.2

Line.l9          ,     1,          3.4633,       0.1442,       2.4018,   13.1

Line.l10         ,     1,          23.015,      0.95826,       2.4018,   40.0
Line.l10         ,     2,          9.9993,      0.41633,       2.4018,  -67.8
Line.l10         ,     3,          15.661,      0.65208,       2.4018,  156.6

Line.l11         ,     1,          3.9619,      0.16496,       2.4018,   13.1

Line.l12         ,     1,          2.3201,       0.0966,       2.4018,  133.5

Line.l13         ,     1,           24.69,        1.028,       2.4018,   32.2
Line.l13         ,     2,          12.134,       0.5052,       2.4018,  -76.4
Line.l13         ,     3,          15.669,      0.65241,       2.4018,  126.9

Line.l14         ,     1,          1.5554,     0.064762,       2.4018,   13.1

Line.l15         ,     1,         0.77516,     0.032274,       2.4018,   13.1

Line.l16         ,     1,          2.2931,     0.095477,       2.4018,  133.5

Line.l17         ,     1,          1.0696,     0.044534,       2.4018,  133.5

Line.l18         ,     1,          3.1065,      0.12934,       2.4018,   12.5

Line.l19         ,     1,          2.2382,     0.093189,       2.4018,   51.9
Line.l19         ,     2,         0.16305,    0.0067885,       2.4018,   83.3
Line.l19         ,     3,          2.6071,      0.10855,       2.4018,  135.1

Line.l20         ,     1,          2.0154,     0.083914,       2.4018,   12.5

Line.l21         ,     1,          3.3344,      0.13883,       2.4018, -106.6

Line.l22         ,     1,          2.1288,     0.088633,       2.4018,   59.5
Line.l22         ,     2,          1.0524,     0.043818,       2.4018,   94.3
Line.l22         ,     3,          2.4547,       0.1022,       2.4018,  130.5

Line.l23         ,     1,          3.3888,       0.1411,       2.4018,  133.4

Line.l24         ,     1,          2.4775,      0.10315,       2.4018,   49.8
Line.l24         ,     2,          1.0581,     0.044056,       2.4018,   76.4
