hour, t(sec), Tap (pu)
0, 1.00000, 1.03125
0, 2.00000, 1.03125
0, 3.00000, 1.03125
0, 4.00000, 1.03125
0, 5.00000, 1.03125
0, 6.00000, 1.03125
0, 7.00000, 1.03125
0, 8.00000, 1.03125
0, 9.00000, 1.03125
0, 10.00000, 1.03125
0, 11.00000, 1.03125
0, 12.00000, 1.03125
0, 13.00000, 1.03125
0, 14.00000, 1.03125
0, 15.00000, 1.03125
0, 16.00000, 1.03125
0, 17.00000, 1.03125
0, 18.00000, 1.03125
0, 19.00000, 1.03125
0, 20.00000, 1.03125
0, 21.00000, 1.03125
0, 22.00000, 1.03125
0, 23.00000, 1.03125
0, 24.00000, 1.03125
0, 25.00000, 1.03125
0, 26.00000, 1.03125
0, 27.00000, 1.03125
0, 28.00000, 1.03125
0, 29.00000, 1.03125
0, 30.00000, 1.03125
0, 31.00000, 1.0375
0, 32.00000, 1.0375
0, 33.00000, 1.0375
0, 34.00000, 1.0375
0, 35.00000, 1.0375
0, 36.00000, 1.0375
0, 37.00000, 1.0375
0, 38.00000, 1.0375
0, 39.00000, 1.0375
0, 40.00000, 1.0375
0, 41.00000, 1.0375
0, 42.00000, 1.0375
0, 43.00000, 1.0375
0, 44.00000, 1.0375
0, 45.00000, 1.0375
0, 46.00000, 1.0375
0, 47.00000, 1.0375
0, 48.00000, 1.0375
0, 49.00000, 1.0375
0, 50.00000, 1.0375
0, 51.00000, 1.0375
0, 52.00000, 1.0375
0, 53.00000, 1.0375
0, 54.00000, 1.0375
0, 55.00000, 1.0375
0, 56.00000, 1.0375
0, 57.00000, 1.0375
0, 58.00000, 1.0375
0, 59.00000, 1.0375
0, 60.00000, 1.0375
0, 61.00000, 1.0375
0, 62.00000, 1.0375
0, 63.00000, 1.0375
0, 64.00000, 1.0375
0, 65.00000, 1.0375
0, 66.00000, 1.0375
0, 67.00000, 1.0375
0, 68.00000, 1.0375
0, 69.00000, 1.0375
0, 70.00000, 1.0375
0, 71.00000, 1.0375
0, 72.00000, 1.0375
0, 73.00000, 1.0375
0, 74.00000, 1.0375
0, 75.00000, 1.0375
0, 76.00000, 1.0375
0, 77.00000, 1.0375
0, 78.00000, 1.0375
0, 79.00000, 1.0375
0, 80.00000, 1.0375
0, 81.00000, 1.0375
0, 82.00000, 1.0375
0, 83.00000, 1.0375
0, 84.00000, 1.0375
0, 85.00000, 1.0375
0, 86.00000, 1.0375
0, 87.00000, 1.0375
0, 88.00000, 1.0375
0, 89.00000, 1.0375
0, 90.00000, 1.0375
0, 91.00000, 1.0375
0, 92.00000, 1.0375
0, 93.00000, 1.0375
0, 94.00000, 1.0375
0, 95.00000, 1.0375
0, 96.00000, 1.0375
0, 97.00000, 1.0375
0, 98.00000, 1.0375
0, 99.00000, 1.0375
0, 100.00000, 1.0375
0, 101.00000, 1.0375
0, 102.00000, 1.0375
0, 103.00000, 1.0375
0, 104.00000, 1.0375
0, 105.00000, 1.0375
0, 106.00000, 1.0375
0, 107.00000, 1.0375
0, 108.00000, 1.0375
0, 109.00000, 1.0375
0, 110.00000, 1.0375
0, 111.00000, 1.0375
0, 112.00000, 1.0375
0, 113.00000, 1.0375
0, 114.00000, 1.0375
0, 115.00000, 1.0375
0, 116.00000, 1.0375
0, 117.00000, 1.0375
0, 118.00000, 1.0375
0, 119.00000, 1.0375
0, 120.00000, 1.0375
0, 121.00000, 1.0375
0, 122.00000, 1.0375
0, 123.00000, 1.0375
0, 124.00000, 1.0375
0, 125.00000, 1.0375
0, 126.00000, 1.0375
0, 127.00000, 1.0375
0, 128.00000, 1.0375
0, 129.00000, 1.0375
0, 130.00000, 1.0375
0, 131.00000, 1.0375
0, 132.00000, 1.0375
0, 133.00000, 1.0375
0, 134.00000, 1.0375
0, 135.00000, 1.0375
0, 136.00000, 1.0375
0, 137.00000, 1.0375
0, 138.00000, 1.0375
0, 139.00000, 1.0375
0, 140.00000, 1.0375
0, 141.00000, 1.0375
0, 142.00000, 1.0375
0, 143.00000, 1.0375
0, 144.00000, 1.0375
0, 145.00000, 1.0375
0, 146.00000, 1.0375
0, 147.00000, 1.0375
0, 148.00000, 1.0375
