hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2490.43, -2.78127, 2485.61, -121.663, 2483.43, 118.205, 0.00244739, 83.408, 0.00252966, -25.0044, 0.00281085, -154.455
2, 0.00000, 2484.57, -2.62662, 2475.03, -121.582, 2475.44, 118.293, 0.00244117, 83.5542, 0.00251947, -24.9183, 0.00280124, -154.349
3, 0.00000, 2487.95, -2.57012, 2476.7, -121.552, 2478, 118.326, 0.00244432, 83.6078, 0.00252137, -24.8863, 0.00280395, -154.31
4, 0.00000, 2493.05, -2.48451, 2479.19, -121.507, 2481.88, 118.375, 0.00244907, 83.6888, 0.00252423, -24.8382, 0.00280803, -154.251
5, 0.00000, 2493.65, -2.4744, 2479.49, -121.502, 2482.34, 118.381, 0.00244964, 83.6984, 0.00252457, -24.8325, 0.00280851, -154.244
6, 0.00000, 2489.21, -2.54889, 2477.3, -121.541, 2478.96, 118.338, 0.00244549, 83.6278, 0.00252207, -24.8745, 0.00280495, -154.295
7, 0.00000, 2478.26, -2.73236, 2471.94, -121.638, 2470.66, 118.233, 0.00243529, 83.4541, 0.00251593, -24.9778, 0.0027962, -154.421
8, 0.00000, 2474.97, -3.05905, 2479.14, -121.802, 2456.46, 118.067, 0.00243184, 83.1913, 0.00251994, -25.2112, 0.00278415, -154.644
9, 0.00000, 2472.99, -3.35324, 2470.52, -121.95, 2458.72, 117.89, 0.00243027, 82.8898, 0.00251249, -25.3345, 0.00278608, -154.798
10, 0.00000, 2479.47, -3.49359, 2481.54, -122.022, 2467.29, 117.811, 0.00243708, 82.7572, 0.00252315, -25.4122, 0.00279629, -154.894
11, 0.00000, 2466.87, -3.6991, 2475.57, -122.132, 2458.02, 117.697, 0.00242537, 82.5626, 0.00251627, -25.5276, 0.00278647, -155.034
12, 0.00000, 2473.1, -3.84061, 2486.53, -122.205, 2466.42, 117.619, 0.00243195, 82.429, 0.00252684, -25.6052, 0.00279651, -155.13
13, 0.00000, 2480.87, -3.54638, 2493.22, -121.932, 2472.34, 117.876, 19.7004, 176.492, 19.8013, 58.1062, 19.6323, -62.093
14, 0.00000, 2481.92, -3.5295, 2493.73, -121.923, 2473.11, 117.885, 19.7085, 176.508, 19.8053, 58.1152, 19.6383, -62.0835
15, 0.00000, 2479.88, -3.56244, 2492.74, -121.941, 2471.61, 117.867, 19.6928, 176.476, 19.7975, 58.0977, 19.6267, -62.102
16, 0.00000, 2471.02, -3.87416, 2485.52, -122.223, 2464.88, 117.6, 0.00243001, 82.3972, 0.00252569, -25.6243, 0.00279487, -155.153
17, 0.00000, 2470.8, -3.87774, 2485.42, -122.225, 2464.72, 117.598, 0.00242981, 82.3938, 0.00252557, -25.6263, 0.0027947, -155.156
18, 0.00000, 2479.67, -3.73417, 2489.6, -122.148, 2471.22, 117.677, 0.00243805, 82.5297, 0.00253039, -25.5458, 0.0028016, -155.058
19, 0.00000, 2484.3, -3.65926, 2491.79, -122.108, 2474.61, 117.718, 0.00244235, 82.6007, 0.00253291, -25.5038, 0.00280519, -155.008
20, 0.00000, 2489.12, -3.58099, 2494.07, -122.067, 2478.16, 117.761, 0.00244683, 82.6748, 0.00253554, -25.4599, 0.00280896, -154.954
21, 0.00000, 2496.86, -3.4555, 2497.74, -122, 2483.87, 117.831, 0.00245403, 82.7936, 0.00253976, -25.3895, 0.002815, -154.869
22, 0.00000, 2496.87, -3.4553, 2497.73, -122, 2483.87, 117.831, 0.00245403, 82.7937, 0.00253976, -25.3896, 0.002815, -154.869
23, 0.00000, 2491.35, -3.27845, 2502.33, -121.923, 2491.62, 117.923, 0.00244983, 82.9382, 0.00254473, -25.282, 0.00282193, -154.797
24, 0.00000, 2489.74, -3.0575, 2493.7, -121.807, 2486.75, 118.048, 0.00244756, 83.147, 0.00253681, -25.159, 0.00281562, -154.645
