hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2476.82, -0.00130697, 2476.83, -120.001, 2476.82, 119.999, 412.339, -16.2945, 266.251, -132.033, 330.633, 107.597
2, 0.00000, 2461.81, -0.00120443, 2461.82, -120.001, 2461.81, 119.999, 379.692, -14.9329, 245.358, -130.123, 304.469, 109.177
3, 0.00000, 2461.81, -0.00117213, 2461.82, -120.001, 2461.81, 119.999, 368.594, -14.4114, 238.206, -129.378, 295.681, 109.799
4, 0.00000, 2461.81, -0.00112332, 2461.82, -120.001, 2461.82, 119.999, 351.898, -13.5681, 227.536, -128.174, 282.503, 110.806
5, 0.00000, 2461.81, -0.00111754, 2461.82, -120.001, 2461.82, 119.999, 349.927, -13.463, 226.277, -128.023, 280.947, 110.931
6, 0.00000, 2461.81, -0.00116012, 2461.82, -120.001, 2461.82, 119.999, 364.479, -14.2114, 235.591, -129.094, 292.439, 110.037
7, 0.00000, 2461.81, -0.00126467, 2461.82, -120.001, 2461.81, 119.999, 400.469, -15.8318, 258.764, -131.4, 320.926, 108.107
8, 0.00000, 2461.8, -0.0014405, 2461.81, -120.001, 2461.81, 119.999, 461.328, -17.8945, 298.006, -134.464, 369.099, 105.521
9, 0.00000, 2461.8, -0.00160418, 2461.81, -120.001, 2461.81, 119.999, 518.574, -19.4322, 334.976, -136.523, 414.588, 103.773
10, 0.00000, 2476.81, -0.00170171, 2476.82, -120.001, 2476.81, 119.998, 549.453, -20.1934, 354.925, -137.538, 439.512, 102.935
11, 0.00000, 2476.8, -0.00181778, 2476.82, -120.001, 2476.81, 119.998, 590.512, -21.0926, 381.837, -138.739, 472.199, 101.908
12, 0.00000, 2491.81, -0.00191839, 2491.82, -120.001, 2491.82, 119.998, 622.17, -21.7226, 402.296, -139.561, 497.788, 101.231
13, 0.00000, 2491.81, -0.00191068, 2491.83, -120.001, 2491.82, 119.998, 619.442, -21.6709, 400.495, -139.492, 495.609, 101.289
14, 0.00000, 2491.81, -0.00190098, 2491.83, -120.001, 2491.82, 119.998, 616.011, -21.6055, 398.242, -139.406, 492.875, 101.363
15, 0.00000, 2491.81, -0.00191977, 2491.82, -120.001, 2491.82, 119.998, 622.661, -21.7324, 402.652, -139.574, 498.198, 101.219
16, 0.00000, 2491.81, -0.00193766, 2491.82, -120.001, 2491.82, 119.998, 628.995, -21.8503, 406.805, -139.729, 503.241, 101.086
17, 0.00000, 2491.81, -0.00193975, 2491.82, -120.001, 2491.82, 119.998, 629.733, -21.8635, 407.26, -139.745, 503.814, 101.072
18, 0.00000, 2491.81, -0.00185813, 2491.83, -120.001, 2491.82, 119.998, 600.832, -21.3011, 388.344, -139.016, 480.829, 101.698
19, 0.00000, 2491.81, -0.00181544, 2491.83, -120.001, 2491.82, 119.998, 585.778, -20.9931, 378.466, -138.608, 468.813, 102.049
20, 0.00000, 2491.82, -0.00177081, 2491.83, -120.001, 2491.82, 119.998, 570.063, -20.6565, 368.17, -138.159, 456.312, 102.433
21, 0.00000, 2491.82, -0.00169903, 2491.83, -120.001, 2491.83, 119.998, 544.861, -20.0806, 351.675, -137.385, 436.237, 103.093
22, 0.00000, 2491.82, -0.00169898, 2491.83, -120.001, 2491.83, 119.998, 544.845, -20.0805, 351.68, -137.385, 436.228, 103.093
23, 0.00000, 2491.82, -0.00160413, 2491.83, -120.001, 2491.83, 119.999, 512.047, -19.3603, 330.568, -136.27, 410.286, 104.044
24, 0.00000, 2476.81, -0.00146048, 2476.82, -120.001, 2476.82, 119.999, 465.207, -18.0153, 300.226, -134.419, 372.653, 105.584
