hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2471.04, -3.87422, 2469.43, -122.215, 2464.72, 117.589, 0.00242949, 82.3738, 0.00251178, -25.583, 0.002793, -155.105
2, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
3, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
4, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
5, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
6, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
7, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
8, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
9, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
10, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
11, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
12, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
13, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
14, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
15, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
16, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
17, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
18, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
19, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
20, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
21, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
22, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
23, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
24, 0.00000, 2471.05, -3.87414, 2469.43, -122.215, 2464.71, 117.589, 0.0024295, 82.3739, 0.00251178, -25.5829, 0.002793, -155.105
