hour, t(sec), Tap (pu)
0, 1.00000, 1
0, 2.00000, 1
0, 3.00000, 1
0, 4.00000, 1
0, 5.00000, 1
0, 6.00000, 1
0, 7.00000, 1
0, 8.00000, 1
0, 9.00000, 1
0, 10.00000, 1
0, 11.00000, 1
0, 12.00000, 1
0, 13.00000, 1
0, 14.00000, 1
0, 15.00000, 1
0, 16.00000, 1
0, 17.00000, 1
0, 18.00000, 1
0, 19.00000, 1
0, 20.00000, 1
0, 21.00000, 1
0, 22.00000, 1
0, 23.00000, 1
0, 24.00000, 1
0, 25.00000, 1
0, 26.00000, 1
0, 27.00000, 1
0, 28.00000, 1
0, 29.00000, 1
0, 30.00000, 1
0, 31.00000, 1
0, 32.00000, 1
0, 33.00000, 1
0, 34.00000, 1
0, 35.00000, 1
0, 36.00000, 1
0, 37.00000, 1
0, 38.00000, 1
0, 39.00000, 1
0, 40.00000, 1
0, 41.00000, 1
0, 42.00000, 1
0, 43.00000, 1
0, 44.00000, 1
0, 45.00000, 1
0, 46.00000, 1
0, 47.00000, 1
0, 48.00000, 1
0, 49.00000, 1
0, 50.00000, 1
0, 51.00000, 1
0, 52.00000, 1
0, 53.00000, 1
0, 54.00000, 1
0, 55.00000, 1
0, 56.00000, 1
0, 57.00000, 1
0, 58.00000, 1
0, 59.00000, 1
0, 60.00000, 1
0, 61.00000, 1
0, 62.00000, 1
0, 63.00000, 1
0, 64.00000, 1
0, 65.00000, 1
0, 66.00000, 1
0, 67.00000, 1
0, 68.00000, 1
0, 69.00000, 1
0, 70.00000, 1
0, 71.00000, 1
0, 72.00000, 1
0, 73.00000, 1
0, 74.00000, 1
0, 75.00000, 1
0, 76.00000, 1
0, 77.00000, 1
0, 78.00000, 1
0, 79.00000, 1
0, 80.00000, 1
0, 81.00000, 1
0, 82.00000, 1
0, 83.00000, 1
0, 84.00000, 1
0, 85.00000, 1
0, 86.00000, 1
0, 87.00000, 1
0, 88.00000, 1
0, 89.00000, 1
0, 90.00000, 1
0, 91.00000, 1
0, 92.00000, 1
0, 93.00000, 1
0, 94.00000, 1
0, 95.00000, 1
0, 96.00000, 1
0, 97.00000, 1
0, 98.00000, 1
0, 99.00000, 1
0, 100.00000, 1
0, 101.00000, 1
0, 102.00000, 1
0, 103.00000, 1
0, 104.00000, 1
0, 105.00000, 1
0, 106.00000, 1
0, 107.00000, 1
0, 108.00000, 1
0, 109.00000, 1
0, 110.00000, 1
0, 111.00000, 1
0, 112.00000, 1
0, 113.00000, 1
0, 114.00000, 1
0, 115.00000, 1
0, 116.00000, 1
0, 117.00000, 1
0, 118.00000, 1
0, 119.00000, 1
0, 120.00000, 1
0, 121.00000, 1
0, 122.00000, 1
0, 123.00000, 1
0, 124.00000, 1
0, 125.00000, 1
0, 126.00000, 1
0, 127.00000, 1
0, 128.00000, 1
0, 129.00000, 1
0, 130.00000, 1
0, 131.00000, 1
0, 132.00000, 1
0, 133.00000, 1
0, 134.00000, 1
0, 135.00000, 1
0, 136.00000, 1
0, 137.00000, 1
0, 138.00000, 1
0, 139.00000, 1
0, 140.00000, 1
0, 141.00000, 1
0, 142.00000, 1
0, 143.00000, 1
0, 144.00000, 1
0, 145.00000, 1
0, 146.00000, 1
0, 147.00000, 1
0, 148.00000, 1
0, 149.00000, 1
0, 150.00000, 1
0, 151.00000, 1
0, 152.00000, 1
0, 153.00000, 1
0, 154.00000, 1
0, 155.00000, 1
0, 156.00000, 1
0, 157.00000, 1
0, 158.00000, 1
0, 159.00000, 1
0, 160.00000, 1
0, 161.00000, 1
0, 162.00000, 1
0, 163.00000, 1
0, 164.00000, 1
0, 165.00000, 1
0, 166.00000, 1
0, 167.00000, 1
0, 168.00000, 1
0, 169.00000, 1
0, 170.00000, 1
0, 171.00000, 1
0, 172.00000, 1
0, 173.00000, 1
0, 174.00000, 1
0, 175.00000, 1
0, 176.00000, 1
0, 177.00000, 1
0, 178.00000, 1
0, 179.00000, 1
0, 180.00000, 1
0, 181.00000, 1
0, 182.00000, 1
0, 183.00000, 1
0, 184.00000, 1
0, 185.00000, 1
0, 186.00000, 1
0, 187.00000, 1
0, 188.00000, 1
0, 189.00000, 1
0, 190.00000, 1
0, 191.00000, 1
0, 192.00000, 1
0, 193.00000, 1
0, 194.00000, 1
0, 195.00000, 1
0, 196.00000, 1
0, 197.00000, 1
0, 198.00000, 1
0, 199.00000, 1
0, 200.00000, 1
0, 201.00000, 1
0, 202.00000, 1
0, 203.00000, 1
0, 204.00000, 1
0, 205.00000, 1
0, 206.00000, 1
0, 207.00000, 1
0, 208.00000, 1
0, 209.00000, 1
0, 210.00000, 1
0, 211.00000, 1
0, 212.00000, 1
0, 213.00000, 1
0, 214.00000, 1
0, 215.00000, 1
0, 216.00000, 1
0, 217.00000, 1
0, 218.00000, 1
0, 219.00000, 1
0, 220.00000, 1
0, 221.00000, 1
0, 222.00000, 1
0, 223.00000, 1
0, 224.00000, 1
0, 225.00000, 1
0, 226.00000, 1
0, 227.00000, 1
0, 228.00000, 1
0, 229.00000, 1
0, 230.00000, 1
0, 231.00000, 1
0, 232.00000, 1
0, 233.00000, 1
0, 234.00000, 1
0, 235.00000, 1
0, 236.00000, 1
0, 237.00000, 1
0, 238.00000, 1
0, 239.00000, 1
0, 240.00000, 1
0, 241.00000, 1
0, 242.00000, 1
0, 243.00000, 1
0, 244.00000, 1
0, 245.00000, 1
0, 246.00000, 1
0, 247.00000, 1
0, 248.00000, 1
0, 249.00000, 1
0, 250.00000, 1
0, 251.00000, 1
0, 252.00000, 1
0, 253.00000, 1
0, 254.00000, 1
0, 255.00000, 1
0, 256.00000, 1
0, 257.00000, 1
0, 258.00000, 1
0, 259.00000, 1
0, 260.00000, 1
0, 261.00000, 1
0, 262.00000, 1
0, 263.00000, 1
0, 264.00000, 1
0, 265.00000, 1
0, 266.00000, 1
0, 267.00000, 1
0, 268.00000, 1
0, 269.00000, 1
0, 270.00000, 1
0, 271.00000, 1
0, 272.00000, 1
0, 273.00000, 1
0, 274.00000, 1
0, 275.00000, 1
0, 276.00000, 1
0, 277.00000, 1
0, 278.00000, 1
0, 279.00000, 1
0, 280.00000, 1
0, 281.00000, 1
0, 282.00000, 1
0, 283.00000, 1
0, 284.00000, 1
