hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 1.00000, 2463.29, -1.35315, 2475.18, -120.021, 2477.85, 119.73, 170.049, 179.044, 169.041, 60.3553, 169.142, -59.9308
0, 2.00000, 2463.26, -1.35459, 2475.14, -120.022, 2477.83, 119.728, 169.94, 179.043, 168.926, 60.356, 169.021, -59.9326
0, 3.00000, 2463.19, -1.35769, 2475.08, -120.025, 2477.77, 119.725, 169.724, 179.04, 168.712, 60.3528, 168.806, -59.9357
0, 4.00000, 2463.13, -1.3603, 2475.03, -120.027, 2477.73, 119.723, 169.543, 179.037, 168.531, 60.35, 168.624, -59.9385
0, 5.00000, 2463.09, -1.36226, 2474.99, -120.029, 2477.7, 119.721, 169.406, 179.034, 168.395, 60.3479, 168.488, -59.9406
0, 6.00000, 2463.06, -1.3638, 2474.96, -120.031, 2477.67, 119.72, 169.3, 179.032, 168.289, 60.3462, 168.381, -59.9422
0, 7.00000, 2463.03, -1.36527, 2474.94, -120.032, 2477.64, 119.719, 169.197, 179.031, 168.187, 60.3447, 168.279, -59.9437
0, 8.00000, 2463, -1.36668, 2474.91, -120.033, 2477.62, 119.717, 169.099, 179.029, 168.089, 60.3432, 168.181, -59.9452
0, 9.00000, 2462.98, -1.36773, 2474.89, -120.034, 2477.6, 119.716, 169.026, 179.028, 168.017, 60.342, 168.108, -59.9463
0, 10.00000, 2462.97, -1.36813, 2474.88, -120.035, 2477.6, 119.716, 168.998, 179.027, 167.989, 60.3416, 168.08, -59.9468
0, 11.00000, 2462.98, -1.36769, 2474.89, -120.034, 2477.6, 119.716, 169.029, 179.028, 168.02, 60.342, 168.111, -59.9464
0, 12.00000, 2463, -1.36636, 2474.91, -120.033, 2477.63, 119.718, 169.122, 179.029, 168.112, 60.3433, 168.203, -59.945
0, 13.00000, 2463.05, -1.3644, 2474.95, -120.031, 2477.66, 119.719, 169.258, 179.031, 168.248, 60.3453, 168.34, -59.943
0, 14.00000, 2463.1, -1.36195, 2475, -120.029, 2477.7, 119.722, 169.429, 179.034, 168.418, 60.3479, 168.511, -59.9405
0, 15.00000, 2463.17, -1.35856, 2475.07, -120.026, 2477.76, 119.725, 169.666, 179.038, 168.653, 60.3514, 168.747, -59.937
0, 16.00000, 2463.27, -1.35408, 2475.15, -120.022, 2477.84, 119.729, 169.978, 179.043, 168.963, 60.356, 169.059, -59.9323
0, 17.00000, 2463.38, -1.34887, 2475.26, -120.017, 2477.92, 119.733, 170.341, 179.049, 169.324, 60.3614, 169.422, -59.9269
0, 18.00000, 2463.5, -1.34315, 2475.37, -120.012, 2478.02, 119.739, 170.739, 179.056, 169.72, 60.3674, 169.82, -59.921
0, 19.00000, 2463.63, -1.33716, 2475.48, -120.007, 2478.12, 119.744, 171.157, 179.063, 170.136, 60.3737, 170.237, -59.9147
0, 20.00000, 2463.77, -1.33069, 2475.61, -120.001, 2478.23, 119.75, 171.608, 179.07, 170.584, 60.3805, 170.688, -59.908
0, 21.00000, 2463.91, -1.32387, 2475.74, -119.995, 2478.35, 119.756, 172.083, 179.078, 171.056, 60.3877, 171.162, -59.9009
0, 22.00000, 2464.05, -1.31711, 2475.88, -119.988, 2478.46, 119.762, 172.553, 179.086, 171.525, 60.3948, 171.633, -59.8938
0, 23.00000, 2464.2, -1.31029, 2476.01, -119.982, 2478.58, 119.768, 173.028, 179.094, 171.997, 60.402, 172.107, -59.8867
0, 24.00000, 2464.34, -1.30349, 2476.14, -119.976, 2478.69, 119.775, 173.502, 179.102, 172.468, 60.4092, 172.58, -59.8795
0, 25.00000, 2464.48, -1.29733, 2476.26, -119.971, 2478.8, 119.78, 173.931, 179.109, 172.895, 60.4157, 173.009, -59.8731
0, 26.00000, 2464.59, -1.29181, 2476.37, -119.966, 2478.89, 119.785, 174.315, 179.115, 173.277, 60.4216, 173.393, -59.8672
0, 27.00000, 2464.7, -1.28657, 2476.47, -119.961, 2478.98, 119.79, 174.68, 179.122, 173.64, 60.4271, 173.758, -59.8617
0, 28.00000, 2464.82, -1.28134, 2476.57, -119.956, 2479.07, 119.795, 175.044, 179.128, 174.002, 60.4326, 174.122, -59.8563
0, 29.00000, 2464.92, -1.27622, 2476.67, -119.952, 2479.16, 119.799, 175.4, 179.134, 174.357, 60.438, 174.478, -59.8509
0, 30.00000, 2465.02, -1.27158, 2476.76, -119.947, 2479.24, 119.804, 175.724, 179.139, 174.679, 60.443, 174.802, -59.846
0, 31.00000, 2480.39, -1.29702, 2477.12, -119.935, 2478.86, 119.809, 174.914, 179.108, 174.921, 60.4564, 175.108, -59.8383
0, 32.00000, 2480.48, -1.29314, 2477.19, -119.932, 2478.92, 119.812, 175.176, 179.112, 175.183, 60.4605, 175.368, -59.8346
0, 33.00000, 2480.58, -1.28877, 2477.27, -119.928, 2479, 119.816, 175.48, 179.117, 175.488, 60.4652, 175.674, -59.83
0, 34.00000, 2480.67, -1.28437, 2477.36, -119.924, 2479.07, 119.82, 175.786, 179.122, 175.794, 60.4698, 175.982, -59.8254
0, 35.00000, 2480.76, -1.28026, 2477.44, -119.92, 2479.14, 119.824, 176.072, 179.127, 176.08, 60.4742, 176.269, -59.821
0, 36.00000, 2480.85, -1.27615, 2477.52, -119.916, 2479.21, 119.828, 176.359, 179.132, 176.367, 60.4785, 176.558, -59.8167
0, 37.00000, 2480.94, -1.27175, 2477.61, -119.912, 2479.28, 119.832, 176.665, 179.137, 176.673, 60.4832, 176.866, -59.812
0, 38.00000, 2481.04, -1.26689, 2477.7, -119.908, 2479.37, 119.836, 177.004, 179.143, 177.012, 60.4884, 177.207, -59.8069
0, 39.00000, 2481.16, -1.26165, 2477.8, -119.903, 2479.46, 119.841, 177.369, 179.149, 177.377, 60.4939, 177.574, -59.8014
0, 40.00000, 2481.27, -1.25625, 2477.91, -119.898, 2479.55, 119.846, 177.745, 179.155, 177.753, 60.4996, 177.952, -59.7957
0, 41.00000, 2481.39, -1.25059, 2478.02, -119.893, 2479.64, 119.851, 178.139, 179.162, 178.147, 60.5056, 178.348, -59.7897
0, 42.00000, 2481.52, -1.24463, 2478.14, -119.887, 2479.74, 119.857, 178.554, 179.168, 178.562, 60.512, 178.766, -59.7834
0, 43.00000, 2481.66, -1.23829, 2478.26, -119.882, 2479.85, 119.862, 178.995, 179.176, 179.004, 60.5187, 179.21, -59.7767
0, 44.00000, 2481.8, -1.23141, 2478.4, -119.875, 2479.97, 119.869, 179.475, 179.184, 179.484, 60.526, 179.692, -59.7695
0, 45.00000, 2481.95, -1.22431, 2478.53, -119.869, 2480.09, 119.875, 179.968, 179.192, 179.978, 60.5335, 180.189, -59.762
0, 46.00000, 2482.1, -1.21731, 2478.67, -119.863, 2480.21, 119.882, 180.456, 179.2, 180.466, 60.5409, 180.68, -59.7546
0, 47.00000, 2482.25, -1.21041, 2478.81, -119.856, 2480.32, 119.888, 180.936, 179.208, 180.946, 60.5482, 181.163, -59.7473
0, 48.00000, 2482.4, -1.20357, 2478.94, -119.85, 2480.44, 119.894, 181.412, 179.216, 181.422, 60.5555, 181.642, -59.7401
0, 49.00000, 2482.54, -1.1969, 2479.07, -119.844, 2480.55, 119.9, 181.877, 179.224, 181.887, 60.5626, 182.109, -59.7331
0, 50.00000, 2482.67, -1.19061, 2479.19, -119.838, 2480.66, 119.906, 182.315, 179.231, 182.326, 60.5692, 182.55, -59.7264
0, 51.00000, 2482.8, -1.18469, 2479.31, -119.833, 2480.76, 119.911, 182.727, 179.238, 182.738, 60.5755, 182.965, -59.7202
0, 52.00000, 2482.92, -1.17906, 2479.42, -119.828, 2480.85, 119.917, 183.119, 179.244, 183.13, 60.5815, 183.36, -59.7143
0, 53.00000, 2483.04, -1.17346, 2479.53, -119.823, 2480.95, 119.922, 183.509, 179.251, 183.52, 60.5874, 183.752, -59.7084
0, 54.00000, 2483.17, -1.16755, 2479.64, -119.817, 2481.05, 119.927, 183.92, 179.258, 183.932, 60.5937, 184.165, -59.7021
0, 55.00000, 2483.3, -1.1614, 2479.76, -119.812, 2481.15, 119.933, 184.348, 179.265, 184.36, 60.6002, 184.596, -59.6956
0, 56.00000, 2483.42, -1.15557, 2479.88, -119.807, 2481.25, 119.938, 184.754, 179.272, 184.766, 60.6064, 185.005, -59.6895
0, 57.00000, 2483.53, -1.1505, 2479.97, -119.802, 2481.34, 119.943, 185.107, 179.277, 185.119, 60.6118, 185.36, -59.6841
0, 58.00000, 2483.63, -1.14575, 2480.07, -119.798, 2481.42, 119.947, 185.437, 179.283, 185.45, 60.6168, 185.693, -59.6791
0, 59.00000, 2483.73, -1.14096, 2480.16, -119.793, 2481.5, 119.952, 185.771, 179.289, 185.784, 60.6219, 186.029, -59.6741
