
Node Current Mismatch Report


Bus,       Node, "Current Sum (A)", "%error", "Max Current (A)"
"System Ground",  0,    0.05715,         0.008734,  654.31225
"150" ....,  1,    0.00000,         0.000000,  654.31225
"   -"    ,  2,    0.00000,         0.000000,  424.50606
"   -"    ,  3,    0.00000,         0.000000,  521.96605
"150r" ...,  1,    0.00000,         0.000000,  630.66240
"   -"    ,  2,    0.00000,         0.000000,  409.16247
"   -"    ,  3,    0.00000,         0.000000,  503.09981
"149" ....,  1,    0.00000,         0.000000,  630.66240
"   -"    ,  2,    0.00000,         0.000000,  409.16247
"   -"    ,  3,    0.00000,         0.000000,  503.09981
"1" ......,  1,    0.00021,         0.000033,  630.66305
"   -"    ,  2,    0.00000,         0.000000,  409.16284
"   -"    ,  3,    0.00000,         0.000000,  503.10011
"2" ......,  2,    0.00006,         0.000629,    8.99666
"3" ......,  3,    0.00000,         0.000000,   46.57008
"7" ......,  1,    0.00018,         0.000030,  612.58073
"   -"    ,  2,    0.00000,         0.000000,  400.24098
"   -"    ,  3,    0.00000,         0.000000,  457.08387
"4" ......,  3,    0.00008,         0.000429,   18.14060
"5" ......,  3,    0.00004,         0.000137,   28.42998
"6" ......,  3,    0.00008,         0.000406,   19.11326
"8" ......,  1,    0.00000,         0.000000,  603.46611
"   -"    ,  2,    0.00000,         0.000000,  400.24116
"   -"    ,  3,    0.00000,         0.000000,  457.08400
"12" .....,  2,    0.00013,         0.001404,    9.02281
"9" ......,  1,    0.00047,         0.001006,   46.54244
"13" .....,  1,    0.00000,         0.000000,  557.25179
"   -"    ,  2,    0.00000,         0.000000,  391.30589
"   -"    ,  3,    0.00000,         0.000000,  457.08420
"9r" .....,  1,    0.00000,         0.000000,   28.07076
"14" .....,  1,    0.00000,         0.000000,   28.07115
"34" .....,  3,    0.00023,         0.000497,   46.49873
"18" .....,  1,    0.00000,         0.000000,  229.20867
"   -"    ,  2,    0.00000,         0.000000,  155.50585
"   -"    ,  3,    0.00000,         0.000000,  153.75884
"11" .....,  1,    0.00047,         0.002498,   18.75448
