System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   288.8949271 + j -38889.49271
[   4,   1] =  -278.4529418 + j  27845.29418
[   2,   2] =   288.8949271 + j -38889.49271
[   5,   2] =  -278.4529418 + j  27845.29418
[   3,   3] =   288.8949271 + j -38889.49271
[   6,   3] =  -278.4529418 + j  27845.29418
[   4,   4] =   1000268.388 + j -26838.83776
[   7,   4] =      -1000000 + j            0
[   5,   5] =   1000268.388 + j -26838.83776
[   8,   5] =      -1000000 + j            0
[   6,   6] =   1000268.388 + j -26838.83776
[   9,   6] =      -1000000 + j            0
[   7,   7] =   1000006.135 + j -13.09896188
[   8,   7] =  -2.756839371 + j  4.340375033
[   9,   7] =  -1.155729083 + j  3.037707437
[  10,   7] =  -6.134801667 + j   13.0989621
[  11,   7] =   2.756839371 + j -4.340375085
[  12,   7] =   1.155729083 + j -3.037707454
[   8,   8] =   1000007.073 + j -13.70942105
[   9,   8] =  -2.143387473 + j  3.864973965
[  10,   8] =   2.756839371 + j -4.340375085
[  11,   8] =  -7.073045203 + j  13.70942129
[  12,   8] =   2.143387473 + j -3.864974001
[   9,   9] =   1000005.874 + j -12.89701318
[  10,   9] =   1.155729083 + j -3.037707454
[  11,   9] =   2.143387473 + j -3.864974001
[  12,   9] =   -5.87425213 + j   12.8970134
[  10,  10] =   14.32148167 + j -30.56771674
[  11,  10] =    -6.4326252 + j  10.12754177
[  12,  10] =  -2.696701195 + j  7.087984029
[  15,  10] =  -8.179735557 + j   17.4652828
[  16,  10] =   3.675785828 + j  -5.78716678
[  17,  10] =   1.540972111 + j -4.050276605
[  11,  11] =   27.50982235 + j -43.21609392
[  12,  11] =  -5.001237438 + j  9.018272606
[  13,  11] =  -11.00605021 + j  11.22744473
[  15,  11] =   3.675785828 + j  -5.78716678
[  16,  11] =  -9.430726938 + j  18.27922839
[  17,  11] =   2.857849964 + j -5.153298669
[  12,  12] =   21.41082345 + j -37.95224209
[  14,  12] =  -7.704235149 + j  7.859211313
[  15,  12] =   1.540972111 + j -4.050276605
[  16,  12] =   2.857849964 + j -5.153298669
[  17,  12] =  -7.832336173 + j  17.19601787
[  13,  13] =   11.00952244 + j -11.22918076
[  14,  14] =   23.26086382 + j -23.72877225
[  18,  14] =  -9.630293936 + j  9.824014142
[  19,  14] =   -5.92633473 + j  6.045547164
[  15,  15] =   20.45281111 + j -43.66494284
[  16,  15] =  -9.189464571 + j  14.46791688
[  17,  15] =  -3.852430278 + j  10.12569149
[  21,  15] =  -12.26960333 + j   26.1979242
[  22,  15] =   5.513678742 + j -8.680750169
[  23,  15] =   2.311458167 + j -6.075414907
[  16,  16] =   23.57681734 + j -45.69807068
[  17,  16] =  -7.144624911 + j  12.88324663
[  21,  16] =   5.513678742 + j -8.680750169
[  22,  16] =  -14.14609041 + j  27.41884258
[  23,  16] =   4.286774947 + j -7.729948003
[  17,  17] =   19.58084043 + j  -42.9900444
[  21,  17] =   2.311458167 + j -6.075414907
[  22,  17] =   4.286774947 + j -7.729948003
[  23,  17] =  -11.74850426 + j  25.79402681
[  18,  18] =   9.637238381 + j -9.827486269
[  19,  19] =    13.6340421 + j -13.90649432
[  20,  19] =  -7.704235149 + j  7.859211313
[  20,  20] =   7.711179593 + j -7.862683417
[  21,  21] =   29.00960017 + j -52.39566364
[  22,  21] =  -9.189464571 + j  14.46791688
[  23,  21] =  -3.852430278 + j  10.12569149
[  25,  21] =  -8.560261277 + j  8.732457015
[  26,  21] =  -8.179735557 + j   17.4652828
[  27,  21] =   3.675785828 + j  -5.78716678
[  28,  21] =   1.540972111 + j -4.050276605
[  22,  22] =   32.13707862 + j -54.43052758
[  23,  22] =  -7.144624911 + j  12.88324663
[  24,  22] =  -8.560261277 + j  8.732457015
[  26,  22] =   3.675785828 + j  -5.78716678
[  27,  22] =  -9.430726938 + j  18.27922839
[  28,  22] =   2.857849964 + j -5.153298669
[  23,  23] =   19.58084043 + j  -42.9900444
[  26,  23] =   1.540972111 + j -4.050276605
[  27,  23] =   2.857849964 + j -5.153298669
[  28,  23] =  -7.832336173 + j  17.19601787
[  24,  24] =   8.563733499 + j  -8.73419302
[  25,  25] =   12.03364467 + j -3475.174874
[  29,  25] =  -3.466438945 + j  3466.438945
[  26,  26] =   1000011.609 + j -24.11227429
[  27,  26] =  -4.715003997 + j  7.661093455
[  28,  26] =  -2.877621503 + j   6.15470077
[  32,  26] =   -3.42935525 + j  6.646992142
[  33,  26] =   1.039218169 + j -1.873926789
[  34,  26] =   1.336649392 + j -2.104424283
[ 257,  26] =      -1000000 + j            0
[  27,  27] =   1000012.279 + j -24.53232517
[  28,  27] =  -3.418203459 + j  6.626126463
[  32,  27] =   1.039218169 + j -1.873926789
[  33,  27] =  -2.848122245 + j  6.253097408
[  34,  27] =   0.560353495 + j -1.472827856
[ 258,  27] =      -1000000 + j            0
[  28,  28] =   1000023.647 + j -36.64571463
[  31,  28] =  -12.84039192 + j  13.09868552
[  32,  28] =   1.336649392 + j -2.104424283
[  33,  28] =   0.560353495 + j -1.472827856
[  34,  28] =  -2.974449293 + j  6.351011928
[ 259,  28] =      -1000000 + j            0
[  29,  29] =   7.998341973 + j  -3471.06201
[  30,  29] =  -4.531903029 + j  4.623065478
[  30,  30] =   19.94037333 + j -20.34148767
[  35,  30] =  -7.704235149 + j  7.859211313
[  36,  30] =  -7.704235149 + j  7.859211313
[  31,  31] =   32.10792423 + j -32.75018591
[  37,  31] =  -19.26058787 + j  19.64802828
[  32,  32] =   1000020.564 + j -32.78543106
[  33,  32] =  -3.897068133 + j  7.027225355
[  34,  32] =   -5.01243522 + j  7.891590919
[  40,  32] =  -7.704235149 + j  7.859211313
[  41,  32] =  -9.430726938 + j  18.27922839
[  42,  32] =   2.857849964 + j -5.153298669
[  43,  32] =   3.675785828 + j  -5.78716678
[ 254,  32] =      -1000000 + j            0
[  33,  33] =    1000010.68 + j -23.44911466
[  34,  33] =  -2.101325606 + j  5.523104414
[  41,  33] =   2.857849964 + j -5.153298669
[  42,  33] =  -7.832336173 + j  17.19601787
[  43,  33] =   1.540972111 + j -4.050276605
[ 255,  33] =      -1000000 + j            0
[  34,  34] =   1000011.154 + j -23.81629411
[  41,  34] =   3.675785828 + j  -5.78716678
[  42,  34] =   1.540972111 + j -4.050276605
[  43,  34] =  -8.179735557 + j   17.4652828
[ 256,  34] =      -1000000 + j            0
[  35,  35] =   7.711179593 + j -7.862683417
[  36,  36] =   7.707707371 + j -7.860947306
[  37,  37] =   29.89976975 + j -30.50122447
[  38,  37] =  -5.136156766 + j  5.239474209
[  39,  37] =  -5.503025106 + j  5.613722367
[  38,  38] =    5.14310121 + j -5.242946254
[  39,  39] =   5.506497329 + j -5.615458312
[  40,  40] =   13.63751432 + j -13.90823043
[  44,  40] =   -5.92633473 + j  6.045547164
[  41,  41] =   20.74759926 + j -40.21430213
[  42,  41] =  -6.287269922 + j  11.33725702
[  43,  41] =  -8.086728822 + j  12.73176684
[  46,  41] =  -11.31687233 + j  21.93507407
[  47,  41] =   3.429419957 + j -6.183958402
[  48,  41] =   4.410942994 + j -6.944600136
[  42,  42] =   20.89982299 + j -41.57372035
[  43,  42] =  -3.390138645 + j  8.910608508
[  45,  42] =  -3.668683404 + j  3.742481578
[  46,  42] =   3.429419957 + j -6.183958402
[  47,  42] =  -9.398803408 + j  20.63522144
[  48,  42] =   1.849166533 + j -4.860331926
[  43,  43] =   17.99541822 + j -38.42362186
[  46,  43] =   4.410942994 + j -6.944600136
[  47,  43] =   1.849166533 + j -4.860331926
[  48,  43] =  -9.815682668 + j  20.95833936
[  44,  44] =   5.933279174 + j -6.049019233
[  45,  45] =   3.675627849 + j -3.745953552
[  46,  46] =   21.60493808 + j -41.87605018
[  47,  46] =  -6.547074464 + j  11.80573872
[  48,  46] =   -8.42089117 + j  13.25787292
[  50,  46] =  -10.28806575 + j  19.94097643
[  51,  46] =   3.117654507 + j -5.621780366
[  52,  46] =   4.009948176 + j  -6.31327285
[  47,  47] =   17.94317014 + j -39.39451338
[  48,  47] =  -3.530227018 + j  9.278815473
[  50,  47] =   3.117654507 + j -5.621780366
[  51,  47] =  -8.544366734 + j  18.75929222
[  52,  47] =   1.681060485 + j -4.418483569
[  48,  48] =   22.24095562 + j -43.58374338
[  49,  48] =  -3.501925068 + j  3.572368779
[  50,  48] =   4.009948176 + j  -6.31327285
[  51,  48] =   1.681060485 + j -4.418483569
[  52,  48] =   -8.92334788 + j  19.05303578
[  49,  49] =   3.508869512 + j -3.575840741
[  50,  50] =    27.9005951 + j -3513.798763
[  51,  50] =  -7.404429453 + j  13.35172833
[  52,  50] =  -9.523626919 + j  14.99402296
[  53,  50] =  -3.444908268 + j  3444.908268
[  57,  50] =  -14.14609041 + j  27.41884258
[  58,  50] =   4.286774947 + j -7.729948003
[  59,  50] =   5.513678742 + j -8.680750169
[  51,  51] =   20.29287099 + j -44.55331877
[  52,  51] =  -3.992518652 + j  10.49389846
[  57,  51] =   4.286774947 + j -7.729948003
[  58,  51] =  -11.74850426 + j  25.79402681
[  59,  51] =   2.311458167 + j -6.075414907
[  52,  52] =   24.65939016 + j -3511.689904
[  54,  52] =  -3.466438945 + j  3466.438945
[  57,  52] =   5.513678742 + j -8.680750169
[  58,  52] =   2.311458167 + j -6.075414907
[  59,  52] =  -12.26960333 + j   26.1979242
[  53,  53] =   9.240863579 + j -3436.928736
[  54,  53] =   -2.26573754 + j  4.865026017
[  55,  53] =  -5.817352257 + j  13.41741445
[  56,  53] =    2.26573754 + j -4.865026039
[  54,  54] =   9.440403583 + j  -3479.93458
[  55,  54] =    2.26573754 + j -4.865026039
[  56,  54] =  -5.973964638 + j  13.49563535
[  55,  55] =   13.22125513 + j -30.49412342
[  56,  55] =  -5.149403501 + j  11.05687732
[  60,  55] =  -7.403902872 + j   17.0767093
[  61,  55] =   2.883665961 + j -6.191851322
[  56,  56] =   22.13745364 + j  -39.4043551
[  60,  56] =   2.883665961 + j -6.191851322
[  61,  56] =  -7.603227721 + j  17.17626318
[  62,  56] =  -8.560261277 + j  8.732457015
[  57,  57] =   23.58376179 + j  -45.7015429
[  58,  57] =  -7.144624911 + j  12.88324663
[  59,  57] =  -9.189464571 + j  14.46791688
[  64,  57] =  -9.430726938 + j  18.27922839
[  65,  57] =   2.857849964 + j -5.153298669
[  66,  57] =   3.675785828 + j  -5.78716678
[  58,  58] =   19.58084043 + j  -42.9900444
[  59,  58] =  -3.852430278 + j  10.12569149
[  64,  58] =   2.857849964 + j -5.153298669
[  65,  58] =  -7.832336173 + j  17.19601787
